Year	City	Rider 1	Rider 2	Horse 1	Horse 2	Association
1949	Rancagua	Ernesto Santos	José Gutiérrez	Vanidosa	Bototo	Temuco
1950	San Fernando	Roberto Palacios	Jesús Bustamante	Caduca	Satín	San Clemente
1951	Rancagua	Manuel Bustamante	Antonio Ríos	Prestigio	Pichanguero	Hospital
1952	Chillán	René Urzúa	Francisco Jara	Jovencita	Algún Día	Chépica
1953	Curicó	René Urzúa	Pedro Lorca	Secretaria	Picantita	Chépica
1954	Los Andes	Alberto Montt	Mario Molina	Perro	Estropajo	Rengo
1955	Melipilla	Santiago Urrutia	Atiliano Urrutia	Marmota	Mentita	Parral
1956	Chillán	Abelino Mora	Eliseo Calderón	Cervecero	Latosito	Temuco
1957	Curicó	René Urzúa	Luis Mayol	Cuspe	Reñoso	Chimbarongo
1958	Osorno	Alejandro Hott	Julio Hott	Huilcoco	Felizcote	Río Bueno
1959	Melipilla	Eduardo Siebet	Raúl González	Ña Popa	Balita	Osorno
1960	Maipú	Rodolfo Bustos	Segudo Zúñiga	Por si Acaso	Broche	San Carlos
1961	Maipú	Abelino Mora	Miguel Lamoaliatte	Aceitaíta	Pluma	Temuco
1962	Los Ángeles	Ramón Cardemil	Ruperto Valderrama	Manicero	Matucho	Curicó
1963	Linares	Ramón Cardemil	Ruperto Valderrama	Envidia	Venganza	Curicó
1964	Ovalle	José Manuel Aguirre	Guillermo Aguirre	Ñipán	Reparo	Los Ángeles
1965	San Fernando	Ramón Cardemil	Ruperto Valderrama	Manicero	Matucho	Curicó
1966	Valdivia	Abelino Mora	Miguel Lamoliatte	Aceitata	Flecha	Temuco
1967	Rancagua	Ramón Cardemil	Ruperto Valderrama	Percala	Pelotera	Curicó
1968	Rancagua	Ramón Cardemil	Ruperto Valderrama	Manicero	Trampero	Curicó
1969	Talca	Santiago Urrutia	Samuel Parot	Barranco	Huachipato	Parral
1970	Osorno	Pablo Quera	Raúl Cáceres	Chinganero	Barquillo	Curicó
1971	Talca	Carlos Gaedicke	Arno Gaedicke	Manojo	Mala Cara	Puerto Octay
1972	Rancagua	Ricardo de la Fuente	Ubaldo García	Risueña	Borrachita	Osorno
1973	Rancagua	Ramón Cardemil	Manuel Fuentes	Tabacón	Trampero	Curicó
1974	Talca	Sergio Bustamante	Jesús Bustamante	Forastero	Carretera	Graneros
1975	Rancagua	Pablo Quera	Raúl Cáceres	Tranquila	Malagueña	Curicó
1976	Rancagua	Ramón Gonzalez	Pedro Vergara	Placer	Angamos	Rancagua
1977	Rancagua	Samuel Parot	Eduardo Tamayo	Guariqueque	Desiderio	Osorno
1978	Rancagua	Luis Domínguez	Alberto Schwalm	Vistazo	Estribillo	Osorno
1979	Rancagua	Ricardo de la Fuente	Julio Buschman	Agora Qué	Rastrojo	Osorno
1980	Rancagua	Ricardo de la Fuente	Enrique Schwalm	Vespertino	Estribillo	Osorno
1981	Rancagua	Ramón Cardemil	Manuel Fuentes	Bellaco	Rival	Curicó
1982	Rancagua	René Guzmán	Boris Guzmán	Taponazo	Enzarte	Mulchén
1983	Rancagua	Leonardo García	Daniel Rey	Alborada	Ronquerita	Temuco
1984	Rancagua	Felipe Jiménez	Hugo Navarro	Vanidoso	Auquincano	Chillán
1985	Rancagua	Hernán Cardemil	Juan Pablo Cardemil	Rumana	Atinada	Curicó
1986	Rancagua	Hugo Cardemil	Guillermo Barra	Salteador III	Pensamiento	Curicó
1987	Rancagua	Juan Carlos Loaiza	Carlos Mondaca	Papayero	Rico Raco	Valdivia
1988	Rancagua	Juan Carlos Loaiza	Carlos Mondaca	Papayero	Rico Raco	Valdivia
1989	Rancagua	Jesús Bustamante	Vicente Yañez	Estribillo II	Consejero	Rancagua
1990	Rancagua	Hugo Cardemil	José Astaburuaga	Lechón	Reservado	Curicó
1991	Rancagua	Hugo Cardemil	José Astaburuaga	Lechón	Reservado	Curicó
1992	Rancagua	Jesús Bustamante	Vicente Yañez	Esparramo	Corsario	Rancagua
1993	Rancagua	Hugo Cardemil	José Astaburuaga	Esquinazo	Reservado	Curicó
