Week	Date	Opponent	Result	Kickoff	Game site	Record
Week	Date	Opponent	Result	Kickoff	Game site	Record
HOF	Bye	Bye	Bye	Bye	Bye	Bye
1	August 5, 2000	Oakland Raiders	W 31-17	7:00 p.m.	Trans World Dome	1-0
2	August 14, 2000	Tennessee Titans	L 30-3	6:00 p.m.	Adelphia Coliseum	1-1
3	August 19, 2000	Buffalo Bills	L 31-27	7:00 p.m.	Trans World Dome	1-2
4	August 24, 2000	Dallas Cowboys	W 24-17	7:20 p.m.	Texas Stadium	2-2
Regular season	Regular season	Regular season	Regular season	Regular season	Regular season	Regular season
1	September 4, 2000	Denver Broncos	W 41-36	8:00 p.m.	Trans World Dome	1-0
2	September 10, 2000	at Seattle Seahawks	W 37-34	3:15 p.m.	Husky Stadium	2-0
3	September 17, 2000	San Francisco 49ers	W 41-24	12:00 p.m.	Trans World Dome	3-0
4	September 24, 2000	at Atlanta Falcons	W 41-20	12:00 p.m.	Georgia Dome	4-0
5	October 1, 2000	San Diego Chargers	W 57-31	12:00 p.m	Trans World Dome	5-0
6	Bye	Bye	Bye	Bye	Bye	Bye
7	October 15, 2000	Atlanta Falcons	W 45-29	12:00 p.m.	Trans World Dome	6-0
8	October 22, 2000	at Kansas City Chiefs	L 54-34	12:00 p.m.	Arrowhead Stadium	6-1
9	October 29, 2000	at San Francisco 49ers	W 34-24	3:15 p.m.	3Com Park	7-1
10	November 5, 2000	Carolina Panthers	L 27-24	7:30 p.m.	Trans World Dome	7-2
11	November 12, 2000	at New York Giants	W 38-24	3:15 p.m.	Giants Stadium	8-2
12	November 20, 2000	Washington Redskins	L 33-20	8:00 p.m.	Trans World Dome	8-3
13	November 26, 2000	New Orleans Saints	L 31-24	3:05 p.m.	Trans World Dome	8-4
14	December 3, 2000	at Carolina Panthers	L 16-3	12:00 p.m.	Ericsson Stadium	8-5
15	December 10, 2000	Minnesota Vikings	W 40-29	3:15 p.m.	Trans World Dome	9-5
16	December 18, 2000	at Tampa Bay Buccaneers	L 38-35	8:00 p.m.	Raymond James Stadium	9-6
17	December 24, 2000	at New Orleans Saints	W 26-21	12:00 p.m.	Louisiana Superdome	10-6
Postseason	Postseason	Postseason	Postseason	Postseason	Postseason	Postseason
18	December 30, 2000	at New Orleans Saints	L 31-28	3:15 p.m.	Louisiana Superdome	10-7
