Week	Date	Opponent	Result	Attendance
1	September 5, 1983	Dallas Cowboys	L 30-31	55,045
2	September 11, 1983	at Philadelphia Eagles	W 23-13	69,542
3	September 18, 1983	Kansas City Chiefs	W 27-12	52,610
4	September 25, 1983	at Seattle Seahawks	W 27-17	60,718
5	October 2, 1983	Los Angeles Raiders	W 37-35	54,106
6	October 9, 1983	at St. Louis Cardinals	W 38-14	42,698
7	October 17, 1983	at Green Bay Packers	L 47-48	55,255
8	October 23, 1983	Detroit Lions	W 38-17	43,189
9	October 31, 1983	at San Diego Chargers	W 27-24	46,114
10	November 6, 1983	St. Louis Cardinals	W 45-7	51,380
11	November 13, 1983	at New York Giants	W 33-17	71,482
12	November 20, 1983	at Los Angeles Rams	W 42-20	63,031
13	November 27, 1983	Philadelphia Eagles	W 28-24	54,324
14	December 4, 1983	Atlanta Falcons	W 37-21	52,074
15	December 11, 1983	at Dallas Cowboys	W 31-10	65,074
16	December 17, 1983	New York Giants	W 31-22	53,874
