Stage	Winner	General classification	Points classification	Mountains classification	Combination Classification	Team classification
1	Team HTC-Columbia	Mark Cavendish	Mark Cavendish 1	not awarded	Mark Cavendish	Team HTC-Columbia
2	Yauheni Hutarovich	Mark Cavendish	Yauheni Hutarovich	Mickaël Delage	Javier Ramírez	Team HTC-Columbia
3	Philippe Gilbert	Philippe Gilbert	Philippe Gilbert	Serafín Martínez	Serafín Martínez	Team HTC-Columbia
4	Igor Antón	Philippe Gilbert	Igor Antón	Serafín Martínez	Vincenzo Nibali	Caisse d'Epargne
5	Tyler Farrar	Philippe Gilbert	Igor Antón	Serafín Martínez	Vincenzo Nibali	Caisse d'Epargne
6	Thor Hushovd	Philippe Gilbert	Philippe Gilbert	Serafín Martínez	Philippe Gilbert	Caisse d'Epargne
7	Alessandro Petacchi	Philippe Gilbert	Mark Cavendish	Serafín Martínez	Philippe Gilbert	Caisse d'Epargne
8	David Moncoutié	Igor Antón	Mark Cavendish	Serafín Martínez	Vincenzo Nibali	Caisse d'Epargne
9	David López	Igor Antón	Mark Cavendish	David Moncoutié	Vincenzo Nibali	Caisse d'Epargne
10	Imanol Erviti	Joaquim Rodríguez	Mark Cavendish	David Moncoutié	David Moncoutié	Caisse d'Epargne
11	Igor Antón	Igor Antón	Igor Antón	David Moncoutié	Igor Antón	Caisse d'Epargne
12	Mark Cavendish	Igor Antón	Mark Cavendish	David Moncoutié	Igor Antón	Caisse d'Epargne
13	Mark Cavendish	Igor Antón	Mark Cavendish	David Moncoutié	Igor Antón	Caisse d'Epargne
14	Joaquim Rodríguez	Vincenzo Nibali	Mark Cavendish	David Moncoutié	Joaquim Rodríguez	Caisse d'Epargne
15	Carlos Barredo	Vincenzo Nibali	Mark Cavendish	David Moncoutié	Joaquim Rodríguez	Team Katusha
16	Mikel Nieve	Joaquim Rodríguez	Mark Cavendish	David Moncoutié	Joaquim Rodríguez	Team Katusha
17	Peter Velits	Vincenzo Nibali	Mark Cavendish	David Moncoutié	Joaquim Rodríguez	Team Katusha
18	Mark Cavendish	Vincenzo Nibali	Mark Cavendish	David Moncoutié	Joaquim Rodríguez	Team Katusha
19	Philippe Gilbert	Vincenzo Nibali	Mark Cavendish	David Moncoutié	Joaquim Rodríguez	Team Katusha
20	Ezequiel Mosquera 2	Vincenzo Nibali	Mark Cavendish	David Moncoutié	Vincenzo Nibali	Team Katusha
21	Tyler Farrar	Vincenzo Nibali	Mark Cavendish	David Moncoutié	Vincenzo Nibali	Team Katusha
