Outcome	Date	Tournament	Surface	Partner	Opponents	Score
Runner-up	1984	Forest Hills WCT , U.S.	Clay	Ernie Fernandez	David Dowlen Nduka Odizor	6–7, 5–7
Runner-up	1985	Fort Myers , U.S.	Hard	Sammy Giammalva Jr.	Ken Flach Robert Seguso	6–3, 3–6, 3–6
Winner	1985	Stratton Mountain , U.S.	Hard	Scott Davis	Ken Flach Robert Seguso	3–6, 7–6, 7–6
Winner	1985	Tokyo Outdoor , Japan	Hard	Scott Davis	Sammy Giammalva Jr. Greg Holmes	7–6, 6–7, 6–3
Runner-up	1985	Tokyo Indoor , Japan	Carpet	Scott Davis	Ken Flach Robert Seguso	6–4, 3–6, 6–7
Winner	1986	Philadelphia , U.S.	Carpet	Scott Davis	Stefan Edberg Anders Järryd	7–6, 3–6, 6–3, 7–5
Runner-up	1986	Scottsdale , U.S.	Hard	Scott Davis	Leonardo Lavalle Mike Leach	6–7, 4–6
Runner-up	1987	Lyon , France	Carpet	Kelly Jones	Guy Forget Yannick Noah	6–4, 3–6, 4–6
Winner	1987	Los Angeles , U.S.	Hard	Kevin Curren	Brad Gilbert Tim Wilkison	6–3, 6–4
Runner-up	1987	Paris , France	Carpet	Scott Davis	Jakob Hlasek Claudio Mezzadri	6–7, 2–6
Runner-up	1987	Frankfurt , Germany	Carpet	Scott Davis	Boris Becker Patrik Kühnen	4–6, 2–6
Winner	1987	Johannesburg , South Africa	Hard (i)	Kevin Curren	Eric Korita Brad Pearce	6–4, 6–4
Winner	1988	Memphis , U.S.	Hard (i)	Kevin Curren	Peter Lundgren Mikael Pernfors	6–2, 6–2
Runner-up	1988	Tokyo Outdoor , Japan	Hard	Steve Denton	John Fitzgerald Johan Kriek	4–6, 7–6, 4–6
Winner	1988	Johannesburg , South Africa	Hard (i)	Kevin Curren	Gary Muller Tim Wilkison	7–6, 6–4
Runner-up	1989	Indian Wells , U.S.	Hard	Kevin Curren	Boris Becker Jakob Hlasek	6–7, 5–7
Runner-up	1989	Tokyo Outdoor , Japan	Hard	Kevin Curren	Ken Flach Robert Seguso	6–7, 6–7
Winner	1989	Sydney Indoor , Australia	Hard (i)	Scott Warner	Darren Cahill Mark Kratzmann	6–3, 6–7, 7–5
Winner	1989	Tokyo Indoor , Japan	Carpet	Kevin Curren	Andrés Gómez Slobodan Živojinović	4–6, 6–3, 7–6
Winner	1990	Orlando , U.S.	Hard	Scott Davis	Alfonso Mora Brian Page	6–3, 7–5
Winner	1990	Kiawah Island , U.S.	Clay	Scott Davis	Jim Grabb Leonardo Lavalle	6–2, 6–3
Winner	1990	Los Angeles , U.S.	Hard	Scott Davis	Peter Lundgren Paul Wekesa	3–6, 6–1, 6–3
Winner	1990	Indianapolis , U.S.	Hard	Scott Davis	Grant Connell Glenn Michibata	7–6, 7–6
Runner-up	1990	Tokyo Indoor , Japan	Carpet	Scott Davis	Guy Forget Jakob Hlasek	6–7, 5–7
Runner-up	1990	Lyon , France	Carpet	Jim Grabb	Patrick Galbraith Kelly Jones	6–7, 4–6
Winner	1990	Paris , France	Carpet	Scott Davis	Darren Cahill Mark Kratzmann	5–7, 6–3, 6–4
Winner	1991	Sydney Outdoor , Australia	Hard	Scott Davis	Darren Cahill Mark Kratzmann	3–6, 6–3, 6–2
Winner	1991	Australian Open , Melbourne	Hard	Scott Davis	Patrick McEnroe David Wheaton	6–7, 7–6, 6–3, 7–5
Winner	1991	Chicago, U.S.	Carpet	Scott Davis	Grant Connell Glenn Michibata	6–4, 5–7, 7–6
Runner-up	1991	Tampa , U.S.	Clay	Richey Reneberg	Ken Flach Robert Seguso	7–6, 4–6, 1–6
Winner	1991	Washington, D.C. , U.S.	Hard	Scott Davis	Ken Flach Robert Seguso	6–4, 6–2
Runner-up	1991	U.S. Open , New York	Hard	Scott Davis	John Fitzgerald Anders Järryd	3–6, 6–3, 3–6, 3–6
Runner-up	1991	Tokyo Indoor , Japan	Carpet	Scott Davis	Jim Grabb Richey Reneberg	5–7, 6–2, 6–7
Runner-up	1993	Osaka , Japan	Hard	Glenn Michibata	Mark Keil Christo van Rensburg	6–7, 3–6
Runner-up	1993	Tokyo Outdoor , Japan	Hard	Glenn Michibata	Ken Flach Rick Leach	6–2, 3–6, 4–6
Runner-up	1993	Montreal , Canada	Hard	Glenn Michibata	Jim Courier Mark Knowles	4–6, 6–7
