Team	Region	Coach	Home ground	Capacity
Adelaide 36ers	SA	Scott Ninnis	Distinctive Homes Dome	8,000
Cairns Taipans	QLD	Mark Beecroft	Cairns Convention Centre	5,300
Gold Coast Blaze	QLD	Brendan Joyce	Gold Coast Convention and Exhibition Centre	5,269
Melbourne Tigers	VIC	Alan Westover	State Netball Centre	3,500
New Zealand Breakers	NZL	Andrej Lemanis	North Shore Events Centre	4,400
Perth Wildcats	WA	Conner Henry	Challenge Stadium	4,500
South Dragons	VIC	Brian Goorjian	Hisense Arena	10,500
Sydney Spirit	NSW	Rob Beveridge	State Sports Centre	5,006
Townsville Crocodiles	QLD	Trevor Gleeson	Townsville Entertainment Centre	5,257
Wollongong Hawks	NSW	Eric Cooks	WIN Entertainment Centre	6,000
