Res.	Record	Opponent	Method	Event	Round	Time	Location
Loss	34–9 (1)	Diego Sanchez	Decision (split)	UFC on Fuel TV: Silva vs. Stann	3	5:00	Saitama , Japan
Win	34–8 (1)	Mac Danzig	Decision (split)	UFC on Fuel TV: Franklin vs. Le	3	5:00	Cotai Strip , Macau
Win	33–8 (1)	Eiji Mitsuoka	TKO (punches)	UFC 144	2	2:21	Saitama , Japan
Loss	32–8 (1)	Nate Diaz	Submission (armbar)	UFC 135	1	4:27	Denver, Colorado , United States
Loss	32–7 (1)	Clay Guida	Submission (guillotine choke)	UFC 125	2	4:27	Las Vegas, Nevada , United States
Win	32–6 (1)	Tyson Griffin	KO (punch)	UFC Live: Jones vs. Matyushenko	1	1:04	San Diego, California , United States
Loss	31–6 (1)	Kenny Florian	Submission (rear naked choke)	UFC Fight Night: Florian vs. Gomi	3	2:52	Charlotte, North Carolina , United States
Win	31–5 (1)	Tony Hervey	Decision (unanimous)	Vale Tudo Japan 2009	5	5:00	Tokyo , Japan
Win	30–5 (1)	Takashi Nakakura	KO (punches)	Shooto: Tradition Final	2	4:42	Tokyo , Japan
Loss	29–5 (1)	Satoru Kitaoka	Submission (achilles lock)	Sengoku Rebellion 2009	1	1:41	Saitama , Japan
Loss	29–4 (1)	Sergey Golyaev	Decision (split)	Sengoku 6	3	5:00	Saitama , Japan
Win	29–3 (1)	Seung Hwang Bang	Decision (unanimous)	Sengoku 4	3	5:00	Saitama , Japan
Win	28–3 (1)	Duane Ludwig	TKO (doctor stoppage)	Sengoku 1	1	2:28	Tokyo , Japan
NC	27–3 (1)	Nick Diaz	NC (overturned by NSAC )	Pride 33	2	1:46	Las Vegas, Nevada , United States
Win	27–3	Mitsuhiro Ishida	TKO (strikes)	Pride Shockwave 2006	1	1:14	Saitama , Japan
Win	26–3	Marcus Aurélio	Decision (split)	Pride Bushido 13	2	5:00	Yokohama, Kanagawa , Japan
Win	25–3	David Baron	Submission ( rear naked choke )	Pride Bushido 12	1	7:10	Nagoya, Aichi , Japan
Loss	24–3	Marcus Aurélio	Technical submission (arm-triangle choke)	Pride Bushido 10	1	4:34	Tokyo , Japan
Win	24–2	Hayato Sakurai	KO (punches)	Pride Shockwave 2005	1	3:56	Saitama , Japan
Win	23–2	Luiz Azeredo	Decision (unanimous)	Pride Bushido 9	2	5:00	Tokyo , Japan
Win	22–2	Tatsuya Kawajiri	Submission ( rear naked choke )	Pride Bushido 9	1	7:42	Tokyo , Japan
Win	21–2	Jean Silva	Decision (unanimous)	Pride Bushido 8	2	5:00	Nagoya, Aichi , Japan
Win	20–2	Luiz Azeredo	KO (punches)	Pride Bushido 7	1	3:46	Tokyo , Japan
Win	19–2	Jens Pulver	KO (punch)	Pride Shockwave 2004	1	6:21	Saitama , Japan
Win	18–2	Charles Bennett	Technical submission ( kimura )	Pride Bushido 5	1	5:52	Osaka , Japan
Win	17–2	Fabio Mello	TKO (punches)	Pride Bushido 4	1	8:07	Nagoya, Aichi , Japan
Win	16–2	Ralph Gracie	KO (knees)	Pride Bushido 3	1	0:06	Yokohama, Kanagawa , Japan
Win	15–2	Jadyson Costa	TKO (punches)	Pride Bushido 2	1	4:55	Yokohama, Kanagawa , Japan
Loss	14–2	B.J. Penn	Submission ( rear naked choke )	Rumble on the Rock 4	3	2:35	Honolulu, Hawaii , United States
Loss	14–1	Joachim Hansen	Decision (majority)	Shooto in Yokohama Gymnasium	3	5:00	Yokohama, Kanagawa , Japan
Win	14–0	Nick Ertl	Submission ( armbar )	Shooto: 2/23 in Korakuen Hall	1	4:59	Tokyo , Japan
Win	13–0	Dokonjonosuke Mishima	TKO (punches)	Shooto 2002 Year-End Show	2	0:52	Urayasu, Chiba , Japan
Win	12–0	Chris Brennan	Decision (unanimous)	Shooto: Treasure Hunt 10	3	5:00	Yokohama, Kanagawa , Japan
Win	11–0	Leonardo Santos	Decision (majority)	Shooto: Treasure Hunt 7	3	5:00	Sakai, Osaka , Japan
Win	10–0	Rumina Sato	Decision (unanimous)	Shooto - To The Top Final Act	3	5:00	Urayasu, Chiba , Japan
Win	9–0	Ryan Bow	Decision (unanimous)	Shooto - R.E.A.D. 12	3	5:00	Tokyo , Japan
Win	8–0	Paul Rodriguez	Decision (unanimous)	Shooto - R.E.A.D. 6	3	5:00	Tokyo , Japan
Win	7–0	Huanderson Pavao	Decision (unanimous)	Shooto - R.E.A.D. 3	3	5:00	Kadoma, Osaka , Japan
Win	6–0	Johnny Eduardo	Submission ( rear naked choke )	Vale Tudo Japan 1999	3	1:43	Urayasu, Chiba , Japan
Win	5–0	Takuya Kawabara	Decision (unanimous)	Shooto - Renaxis 4	3	5:00	Tokyo , Japan
Win	4–0	Stephen Palling	Submission ( rear naked choke )	SuperBrawl 12	1	3:06	Honolulu, Hawaii , United States
Win	3–0	Takuya Kuwabara	Decision (unanimous)	Shooto - Renaxis 1	3	5:00	Tokyo , Japan
Win	2–0	Kazumichi Takada	TKO (punches)	Shooto - Devilock Fighters	2	3:42	Tokyo , Japan
Win	1–0	Hiroshi Tsuruya	Decision (unanimous)	Shooto - Las Grandes Viajes 6	3	5:00	Tokyo, Japan
