Outcome	Date	Surface	Partner	Opponents in the final	Score
Runner-up	16 June 2002	Clay	Barbara Schwartz	Petra Mandula Patricia Wartusch	6–2, 0–6, 6–4
Winner	14 July 2002	Clay	Barbara Schwartz	Tathiana Garbin Arantxa Sánchez Vicario	6–2, 0–6, 6–4
Winner	29 February 2004	Clay	Barbara Schwartz	Anabel Medina Garrigues Arantxa Parra Santonja	6–1, 6–3
Runner-up	26 February 2006	Clay	Ágnes Szávay	Gisela Dulko Flavia Pennetta	7–6 (7–1) , 6–1
Runner-up	5 November 2006	Carpet (i)	Eleni Daniilidou	Lisa Raymond Samantha Stosur	6–2, 6–3
Runner-up	30 September 2007	Hard	Eleni Daniilidou	Chuang Chia-jung Hsieh Su-wei	6–2, 6–2
Runner-up	11 January 2008	Hard	Eleni Daniilidou	Anabel Medina Garrigues Virginia Ruano Pascual	6–2, 6–4
Winner	31 July 2010	Hard	Eleni Daniilidou	Maria Kondratieva Vladimíra Uhlířová	6–4, 1–6, [11–9]
Runner-up	24 April 2011	Clay	Kristina Barrois	Sabine Lisicki Samantha Stosur	6–1, 7–6 (7–5)
Winner	12 June 2011	Hard	Johanna Larsson	Kristina Mladenovic Katarzyna Piter	6–3, 6–3
