Week	Date	Opponent	Result	Attendance
1	September 20, 1970	Miami Dolphins	W 27–14	32,607
2	September 27, 1970	New York Jets	L 31–21	36,040
3	October 4, 1970	Baltimore Colts	L 14–6	38,235
4	October 11, 1970	at Kansas City Chiefs	L 23–10	50,698
5	October 18, 1970	New York Giants	L 16–0	39,091
6	October 25, 1970	at Baltimore Colts	L 27–3	60,240
7	November 1, 1970	Buffalo Bills	L 45–10	31,148
8	November 8, 1970	at St. Louis Cardinals	L 31–0	46,466
9	November 15, 1970	San Diego Chargers	L 16–14	30,597
10	November 22, 1970	at New York Jets	L 17–3	61,822
11	November 29, 1970	at Buffalo Bills	W 14–10	31,427
12	December 6, 1970	at Miami Dolphins	L 37–20	51,032
13	December 13, 1970	Minnesota Vikings	L 35–14	37,819
14	December 20, 1970	at Cincinnati Bengals	L 45–7	60,157
