Year	Game	Genre	Platform(s)	Developer(s)
2002	Metroid Prime	( First-Person ) Action-Adventure	GameCube	Retro Studios , Nintendo
2003	The Legend of Zelda: The Wind Waker	Action-Adventure	GameCube	Nintendo
2004	World of Warcraft	MMORPG	Windows , Mac OS X	Blizzard
2005	Resident Evil 4	Survival Horror : ( Third-Person ) Shooter	GameCube , PlayStation 2 , Wii , Windows	Capcom
2006	Gears of War	Tactical Shooter	Xbox 360 , Windows	Epic Games
2007	Super Mario Galaxy	Platformer	Wii	Nintendo
2008	Metal Gear Solid 4: Guns of the Patriots	Stealth Action	PlayStation 3	Kojima Productions
2009	Demon's Souls	Action RPG : Hack & Slash	PlayStation 3	From Software
2010	Red Dead Redemption	Open World : ( Third-Person ) Shooter	PlayStation 3 , Xbox 360	Rockstar Games
2011	The Elder Scrolls V: Skyrim	Role-playing game	Windows , PlayStation 3 , Xbox 360	Bethesda Game Studios
2012	Journey	Adventure	PlayStation 3	Thatgamecompany
