Date	Opponent	Score	Loss	Attendance	Record
April 1	@ Padres	1–2	Backe (0–1)	20,825	0–2
April 2	@ Padres	9–6	Hoffman (0–1)	18,714	1–2
April 3	@ Padres	2–3	Villareal (0–1)	24,432	1–3
April 4	@ Cubs	4–3	Lieber (0–1)	37,812	2–3
April 5	@ Cubs	7–9	Oswalt (0–2)	40,707	2–4
April 6	@ Cubs	2–3	Villarreal (0–2)	40,929	2–5
April 7	Cardinals	5–3	McClellan (0–1)	43,483	3–5
April 8	Cardinals	3–5	Geary (0–1)	30,184	3–6
April 9	Cardinals	4–6	Sampson (0–1)	29,187	3–7
April 11	Marlins	6–10	Oswalt (0–3)	34,191	3–8
April 12	Marlins	5–0	Miller (0–2)	34,336	4–8
April 13	Marlins	5–1	Badenhop (0–1)	29,766	5–8
April 15	@ Phillies	3–4	Valverde (2–1)	34,609	5–9
April 16	@ Phillies	2–1	Kendrick (1–2)	31,644	6–9
April 17	@ Phillies	2–10	Backe (1–2)	33,526	6–10
April 18	Rockies	11–5	Sampson (0–2)	34,272	6–11
April 19	Rockies	2–3	Villarreal (0–3)	34,540	6–12
April 20	Rockies	6–4	Fuentes (0–1)	35,286	7–12
April 21	Padres	10–3	Germano (0–2)	28,600	8–12
April 22	Padres	11–7	Bell (0–2)	33,434	9–12
April 23	@ Reds	9–3	Arroyo (0–3)	16,017	10–12
April 24	@ Reds	5–3	Cueto (3)	17,403	11–12
April 25	@ Cardinals	3–2	Isringhausen (1–2)	41,193	12–12
April 26	@ Cardinals	3–4	Borkowski (0–1)	43,040	12–13
April 27	@ Cardinals	1–5	Backe (1–3)	44,222	12–14
April 28	@ D-backs	3–5	Sampson (1–3)	19,868	12–15
April 29	@ D-backs	6–4	González (1–2)	20,241	13–15
April 30	@ D-backs	7–8	Borkowski (0–2)	21,519	13–16
