Week	Date	Opponent	Result	Attendance
1	September 12, 1999	at Indianapolis Colts	L 31–14	56,238
2	September 19, 1999	New York Jets	W 17–3	68,839
3	September 26, 1999	Philadelphia Eagles	W 26–0	70,872
4	October 4, 1999	at Miami Dolphins	W 23–18	74,073
5	October 10, 1999	Pittsburgh Steelers	W 24–21	71,038
6	October 17, 1999	Oakland Raiders	L 20–14	71,113
7	October 24, 1999	at Seattle Seahawks	L 26–16	66,301
8	October 31, 1999	at Baltimore Ravens	W 13–10	68,673
9	November 7, 1999	at Washington Redskins	W 34–17	78,721
10	November 14, 1999	Miami Dolphins	W 23–3	72,810
11	November 21, 1999	at New York Jets	L 17–7	79,285
12	November 28, 1999	New England Patriots	W 17–7	72,111
13	Bye	Bye	Bye	Bye
14	December 12, 1999	New York Giants	L 19–17	72,527
15	December 19, 1999	at Arizona Cardinals	W 31–21	64,337
16	December 26, 1999	at New England Patriots	W 13–10	55,014
17	January 2, 2000	Indianapolis Colts	W 31–6	61,959
