Round	Pick	Player	Position	School
1	14	Renaldo Turnbull	DE	West Virginia
2	44	Vince Buck	DB	Central State
3	71	Joel Smeenge	DE	Western Michigan
4	98	DeMond Winston	LB	Vanderbilt
5	125	Charles Arbuckle	TE	UCLA
6	156	Mike Buck	QB	Maine
6	158	James Williams	LB	Mississippi State
7	183	Scott Hough	G	Maine
8	207	Gerry Gdowski	QB	Nebraska
8	210	Derrick Carr	DE	Bowling Green
9	233	Broderick Graves	RB	Winston-Salem State
9	236	Lonnie Brockman	LB	West Virginia
10	260	Gary Cooper	WR	Clemson
10	267	Ernest Spears	DB	USC
11	287	Webbie Burnett	DT	Western Kentucky
12	320	Chris Port	G	Duke
