Date	Course	Distance	Type	Winner
18 May	Athens ( Greece ) to Athens ( Greece )	km (mi)	Plain stage	Silvio Martinello ( ITA )
19 May	Eleusis ( Greece ) to Naupactus ( Greece )	km (mi)	Plain stage	Glenn Magnusson ( SWE )
20 May	Missolonghi ( Greece ) to Ioannina ( Greece )	km (mi)	Plain stage	Giovanni Lombardi ( ITA )
21 May	Rest day	Rest day	Rest day	Rest day
22 May	Ostuni to Ostuni	km (mi)	Plain stage	Mario Cipollini ( ITA )
23 May	Metaponto to Crotone	km (mi)	Plain stage	Ángel Edo ( ESP )
24 May	Crotone to Catanzaro	km (mi)	Hilly stage	Pascal Hervé ( FRA )
25 May	Amantea to Massiccio del Sirino	km (mi)	Stage with mountain(s)	Davide Rebellin ( ITA )
26 May	Polla to Naples	km (mi)	Plain stage	Mario Cipollini ( ITA )
27 May	Naples to Fiuggi	km (mi)	Hilly stage	Enrico Zaina ( ITA )
28 May	Arezzo to Prato	km (mi)	Hilly stage	Rodolfo Massi ( ITA )
29 May	Prato to Marina di Massa	km (mi)	Plain stage	Mario Cipollini ( ITA )
30 May	Aulla to Loano	km (mi)	Plain stage	Fabiano Fontanelli ( ITA )
31 May	Loano to Prato Nevoso	km (mi)	Stage with mountain(s)	Pavel Tonkov ( RUS )
1 June	Sanctuary of Vicoforte to Briançon ( France )	km (mi)	Stage with mountain(s)	Pascal Richard ( SUI )
2 June	Briançon ( France ) to Aosta	km (mi)	Plain stage	Gianni Bugno ( ITA )
3 June	Aosta to Lausanne ( Switzerland )	km (mi)	Hilly stage	Alexander Gontchenkov ( UKR )
4 June	Lausanne ( Switzerland ) to Biella	km (mi)	Hilly stage	Nicolaj Bo Larsen ( DEN )
5 June	Meda to Vicenza	km (mi)	Plain stage	Mario Cipollini ( ITA )
6 June	Vicenza to Marostica	km (mi)	Individual time trial	Evgeni Berzin ( RUS )
7 June	Marostica to Passo Pordoi	km (mi)	Stage with mountain(s)	Enrico Zaina ( ITA )
8 June	Cavalese to Aprica	km (mi)	Stage with mountain(s)	Ivan Gotti ( ITA )
9 June	Sondrio to Milan	km (mi)	Plain stage	Serguei Outschakov ( UKR )
Total	Total	km (mi)	km (mi)	km (mi)
