Game	Date	Team	Score	High points	High rebounds	Location Attendance	Record
16	December 1	@ Memphis	W 92–87 (OT)	Vince Carter (27)	Antonio Davis (12)	Pyramid Arena 13,213	6–10
17	December 2	@ Dallas	L 102–113 (OT)	Alvin Williams (27)	Antonio Davis (9)	American Airlines Center 19,696	6–11
18	December 4	@ New Orleans	L 74–89 (OT)	Vince Carter (26)	Antonio Davis (11)	New Orleans Arena 13,342	6–12
19	December 6	Chicago	W 103–89 (OT)	Voshon Lenard (23)	Vince Carter (10)	Air Canada Centre 18,862	7–12
20	December 8	Portland	L 91–104 (OT)	Vince Carter (25)	Michael Bradley , Jerome Williams (10)	Air Canada Centre 18,645	7–13
21	December 11	@ Cleveland	L 83–96 (OT)	Voshon Lenard (24)	Jerome Williams (8)	Gund Arena 9,090	7–14
22	December 13	Seattle	L 79–91 (OT)	Lindsey Hunter (21)	Jelani McCoy , Morris Peterson (7)	Air Canada Centre 18,111	7–15
23	December 15	Washington	L 82–95 (OT)	Lindsey Hunter (22)	Jelani McCoy (10)	Air Canada Centre 19,800	7–16
24	December 17	@ Milwaukee	W 122–117 (OT)	Voshon Lenard (23)	Nate Huffman , Jelani McCoy (9)	Bradley Center 15,926	8–16
25	December 18	@ Chicago	L 83–96 (OT)	Morris Peterson (22)	Jelani McCoy , Jerome Williams (11)	United Center 16,111	8–17
26	December 20	Miami	L 77–97 (OT)	Voshon Lenard (19)	Jerome Williams (9)	Air Canada Centre 19,235	8–18
27	December 22	L.A. Lakers	L 107–109 (OT)	Morris Peterson (27)	Jerome Williams (12)	Air Canada Centre 19,800	8–19
28	December 26	@ Seattle	L 88–97 (OT)	Voshon Lenard (27)	Jerome Williams (11)	KeyArena 16,139	8–20
29	December 27	@ Golden State	L 96–101 (OT)	Voshon Lenard , Alvin Williams (17)	Michael Bradley (15)	The Arena in Oakland 16,487	8–21
30	December 29	@ L.A. Lakers	L 88–104 (OT)	Morris Peterson (18)	Jelani McCoy , Morris Peterson (5)	Staples Center 18,997	8–22
31	December 30	@ Utah	L 85–107 (OT)	Voshon Lenard , Morris Peterson (18)	Jelani McCoy , Morris Peterson (6)	Delta Center 19,911	8–23
