Race	Date	Location	Pole Position	Fastest Lap	Race Winner	Constructor	Report
Argentine Grand Prix	15 January	Buenos Aires	Mario Andretti	Gilles Villeneuve	Mario Andretti	Lotus - Ford	Report
Brazilian Grand Prix	29 January	Jacarepaguá	Ronnie Peterson	Carlos Reutemann	Carlos Reutemann	Ferrari	Report
South African Grand Prix	4 March	Kyalami	Niki Lauda	Mario Andretti	Ronnie Peterson	Lotus - Ford	Report
United States Grand Prix West	2 April	Long Beach	Carlos Reutemann	Alan Jones	Carlos Reutemann	Ferrari	Report
Monaco Grand Prix	7 May	Monaco	Carlos Reutemann	Niki Lauda	Patrick Depailler	Tyrrell - Ford	Report
Belgian Grand Prix	21 May	Zolder	Mario Andretti	Ronnie Peterson	Mario Andretti	Lotus - Ford	Report
Spanish Grand Prix	4 June	Jarama	Mario Andretti	Mario Andretti	Mario Andretti	Lotus - Ford	Report
Swedish Grand Prix	17 June	Anderstorp	Mario Andretti	Niki Lauda	Niki Lauda	Brabham - Alfa Romeo	Report
French Grand Prix	2 July	Paul Ricard	John Watson	Carlos Reutemann	Mario Andretti	Lotus - Ford	Report
British Grand Prix	16 July	Brands Hatch	Ronnie Peterson	Niki Lauda	Carlos Reutemann	Ferrari	Report
German Grand Prix	30 July	Hockenheimring	Mario Andretti	Ronnie Peterson	Mario Andretti	Lotus - Ford	Report
Austrian Grand Prix	13 August	Österreichring	Ronnie Peterson	Ronnie Peterson	Ronnie Peterson	Lotus - Ford	Report
Dutch Grand Prix	27 August	Zandvoort	Mario Andretti	Niki Lauda	Mario Andretti	Lotus - Ford	Report
Italian Grand Prix	10 September	Monza	Mario Andretti	Mario Andretti	Niki Lauda	Brabham - Alfa Romeo	Report
United States Grand Prix	1 October	Watkins Glen	Mario Andretti	Jean-Pierre Jarier	Carlos Reutemann	Ferrari	Report
Canadian Grand Prix	8 October	Île Notre-Dame	Jean-Pierre Jarier	Alan Jones	Gilles Villeneuve	Ferrari	Report
