Name	GP-GS	Gain	Loss	Long	Avg/G
Derrick Washington	14	1,078	42	59	74.0
Jeremy Maclin	14	306	13	56	20.9
Chase Daniel	14	384	103	48	20.1
Jimmy Jackson	14	275	28	37	17.6
De'Vion Moore	13	251	20	55	17.8
Blaine Gabbert	5	37	15	30	4.4
Shawn Scott	3	23	1	8	7.3
Tommy Saunders	14	14	0	8	1.0
Jerrell Jackson	13	11	1	11	0.8
Chase Patton	8	19	10	11	1.1
Danario Alexander	12	6	0	3	0.5
Tyrone Reece	2	3	5	3	-1.0
TEAM	11	0	8	0	-0.7
Jared Perry	14	0	8	0	-0.6
TOTAL	14	2,407	254	59	153.8
Opponents	14	2,219	471	93	124.9
