Match	Date	Opponent	Venue	Result	Attnd.	Report
1	7 September 2008	Bayern Munich	H	0:3 (0:2)	1,279	Report
2	14 September 2008	SC Freiburg	A	0:1 (0:0)	1,000	Report
3	21 September 2008	HSV Borussia Friedenstal	H	3:0 (1:0)	808	Report
4	28 September 2008	Hamburger SV	A	1:3 (0:2)	480	Report
5	5 October 2008	FCR 2001 Duisburg	H	2:2 (0:1)	865	Report
6	12 October 2008	TSV Crailsheim	A	0:2 (0:1)	389	Report
7	26 October 2008	FF USV Jena	A	0:5 (0:3)	1,650	Report
8	2 November 2008	SG Essen-Schönebeck	H	4:0 (1:0)	837	Report
9	17 September 2008	SC 07 Bad Neuenahr	A	2:2 (1:0)	320	Report
10	1 April 2009	1. FFC Frankfurt	H	2:2 (1:0)	1,823	Report
11	22 October 2008	VfL Wolfsburg	A	1:5 (0:1)	631	Report
12	14 December 2008	Bayern Munich	A	2:1 (0:1)	463	Report
13	18 March 2009	SC Freiburg	H	7:1 (3:0)	655	Report
14	1 March 2009	HSV Borussia Friedenstal	A	0:4 (0:1)	683	Report
15	15 March 2009	Hamburger SV	H	3:1 (0:0)	744	Report
16	22 March 2009	FCR 2001 Duisburg	A	0:3 (0:2)	1,490	Report
17	29 March 2009	TSV Crailsheim	H	4:0 (1:0)	776	Report
18	18 April 2009	FF USV Jena	H	3:2 (1:0)	804	Report
19	3 May 2009	SG Essen-Schönebeck	A	1:5 (1:3)	1,342	Report
20	10 May 2009	SC 07 Bad Neuenahr	H	3:0 (3:0)	1,021	Report
21	17 May 2009	1. FFC Frankfurt	A	1:2 (0:0)	2,460	Report
22	24 May 2009	VfL Wolfsburg	H	3:0 (1:0)	2,516	Report
