Nation	Population (thousands)	Internet subscriptions (2000) (thousands of users)	Internet subscriptions (2008) (thousands of users)	% growth (2000–2008)	% Internet users
Algeria	33770	50	3500	69	10
Angola	12531	30	100	233	1
Benin	8295	15	150	900	2
Botswana	1842	15	80	433	4
Burkina Faso	15265	10	80	700	1
Burundi	8691	3	60	1900	1
Camerun	18468	20	370	1750	2
Cape Verde	427	8	37	362	9
Central African Republic	4435	1	13	767	1
Chad	10111	1	60	5900	1
Comoros	732	1	21	1300	3
Congo	3903	1	70	13900	2
DR Congo	66514	1	230	45980	1
Côte d'Ivoire	18373	40	300	650	2
Djibouti	506	1	11	685	2
Egypt	81713	450	8620	1815	10
Equatorial Guinea	616	1	8	1500	1
Eritrea	5028	5	120	2300	2
Ethiopia	78254	10	291	2810	1
Gabon	1486	15	81	440	5
Gambia	1735	4	100	2405	6
Ghana	23383	30	650	2066	3
Guinea	10211	8	50	525	1
Guinea Bissau	1503	1	37	2366	2
Kenya	37954	200	3000	1400	8
Lesotho	2128	4	70	1650	3
Liberia	3335	1	1	100	1
Libya	6174	10	260	2500	4
Madagascar	20043	30	110	266	1
Malawi	13932	15	139	830	1
Mali	12324	18	100	431	1
Mauritania	3365	5	30	500	1
Mauritius	1274	87	340	291	27
Morocco	34343	100	7300	7200	21
Mozambique	21285	30	200	566	1
Namibia	2089	30	100	233	5
Niger	13273	5	40	703	1
Nigeria	138283	200	10000	4900	7
Rwanda	10186	5	150	2900	1
São Tomé and Príncipe	206	6	23	253	11
Senegal	12853	40	820	1950	6
Seychelles	82	6	32	433	39
Sierra Leone	6295	5	13	160	1
Somalia	9559	1	98	48900	1
South Africa	43786	2400	5100	112	22
Sudan	40218	30	1500	4900	4
Swaziland	1128	10	42	320	4
Tanzania	40213	115	400	248	1
Togo	5859	100	320	220	5
Tunisia	10383	100	1722	1622	17
Uganda	31368	40	2000	4900	6
Zambia	11669	20	500	2400	4
Zimbabwe	12382	50	1351	2602	11
