Name	Years	Gender	Area	Authority	Decile	Roll
Kapanui School	1–8	Coed	Waikanae	State	8	532
Kapiti College	9–13	Coed	Raumati Beach	State	8	1223
Kapiti School	1–8	Coed	Paraparaumu	State	5	242
Kenakena School	1–8	Coed	Paraparaumu Beach	State	8	555
Otaki College	7–13	Coed	Otaki	State	4	426
Otaki School	1–6	Coed	Otaki	State	3	196
Paekakariki School	1–8	Coed	Paekakariki	State	7	174
Paraparaumu Beach School	1–8	Coed	Paraparaumu Beach	State	9	629
Paraparaumu College	9–13	Coed	Paraparaumu	State	8	1215
Paraparaumu School	1–8	Coed	Paraparaumu	State	6	164
Raumati Beach School	1–8	Coed	Raumati Beach	State	9	655
Raumati South School	1–8	Coed	Raumati South	State	8	418
St Patrick's School	1–8	Coed	Paraparaumu	Integrated	8	121
St Peter Chanel School	1–8	Coed	Otaki	Integrated	3	17
Te Horo School	1–6	Coed	Te Horo	State	9	206
Te Kura-a-iwi o Whakatupuranga Rua Mano	1–13	Coed	Otaki	State	3	158
Te Ra School	1–8	Coed	Raumati South	Integrated	9	167
TKKM o Te Rito	1–13	Coed	Otaki	State	3	57
Waikanae School	1–8	Coed	Waikanae	State	8	451
Waitohu School	1–6	Coed	Otaki	State	4	254
