Game	March	Opponent	Score	Record
61	2	Philadelphia Flyers	4 - 0	31-19-11
62	3	Chicago Black Hawks	4 - 0	32-19-11
63	6	Detroit Red Wings	6 - 1	33-19-11
64	9	@ Minnesota North Stars	1 - 1	33-19-12
65	10	Los Angeles Kings	4 - 3	33-20-12
66	13	Boston Bruins	2 - 1	33-21-12
67	14	@ Montreal Canadiens	3 - 1	33-22-12
68	17	Pittsburgh Penguins	3 - 0	34-22-12
69	20	@ Chicago Black Hawks	5 - 3	35-22-12
70	23	@ Toronto Maple Leafs	3 - 1	35-23-12
71	24	Toronto Maple Leafs	4 - 2	36-23-12
72	28	@ Boston Bruins	5 - 4	37-23-12
73	30	@ Detroit Red Wings	3 - 1	38-23-12
74	31	Montreal Canadiens	4 - 2	39-23-12
