Season	Round	Date	Home	Away	Result
DFB-Pokal 1975–76	First round	1 August 1975	TSG Thannhausen	Bayer 04 Leverkusen	0-6
DFB-Pokal 1976–77	First round	6 August 1976	SVO Germaringen	VfR Laboe	9-0
DFB-Pokal 1976–77	Second round	16 October 1976	Arminia Bielefeld	SVO Germaringen	6-0
DFB-Pokal 1977–78	First round	29 July 1977	Arminia Hannover	FC Augsburg II	0-1
DFB-Pokal 1977–78	Second round	20 August 1977	1. FC Normannia Gmünd	FC Augsburg II	1-2
DFB-Pokal 1977–78	Third round	14 October 1977	FC Augsburg II	Hertha BSC Berlin	0-4
DFB-Pokal 1978–79	First round	5 August 1978	SSV Glött	FC Bayern Munich	0-5
DFB-Pokal 1978–79	First round	5 August 1978	SVO Germaringen	VfR 1910 Bürstadt	1-7
DFB-Pokal 1979–80	First round	25 August 1979	Eintracht Frankfurt	BSK Olympia Neugablonz	6-1
DFB-Pokal 1979–80	First round	26 August 1979	Bonner SC	SV Salamander Türkheim	4-0
DFB-Pokal 1980–81	First round	30 August 1980	TSV Gersthofen	OSC Bremerhaven	0-1
DFB-Pokal 1980–81	First round	30 August 1980	FC Augsburg	Wuppertaler SV	2-0
DFB-Pokal 1980–81	Second round	1980	FC Augsburg	FSV Mainz 05	2-0
DFB-Pokal 1980–81	Third round	22 November 1980	FC Augsburg	SV Werder Bremen	1-3
DFB-Pokal 1981–82	First round	28 August 1981	TSV 1861 Nördlingen	VfB Oldenburg	0-3
DFB-Pokal 1982–83	First round	27 August 1983	SVO Germaringen	Hammer SpVgg	1-2
DFB-Pokal 1986–87	First round	27 August 1986	TSV 1860 München	FC Augsburg	1-5 aet
DFB-Pokal 1986–87	Second round	24 October 1986	FC Augsburg	Hamburger SV	1-2
DFB-Pokal 1988–89	First round	6 August 1988	FC Augsburg	Alemannia Aachen	1-4
DFB-Pokal 1992–93	First round	18 August 1992	FC Gundelfingen	KFC Uerdingen 05	0-1
DFB-Pokal 1993–94	First round	bye	bye	bye	bye
DFB-Pokal 1993–94	Second round	24 August 1993	FC Augsburg	Rot-Weiß Lüdenscheid	2-0
DFB-Pokal 1993–94	Third round	11 September 1993	FC Augsburg	SpVgg Marl	3-0
DFB-Pokal 1993–94	Fourth round	26 October 1993	FC Augsburg	Bayer 04 Leverkusen	0-0 (3-4 pen)
DFB-Pokal 2000–01	First round	27 August 2000	TSV Rain am Lech	FC Schalke 04	0-7
DFB-Pokal 2003-04	First round	30 August 2003	TSV Aindling	FC Schalke 04	0-3
DFB-Pokal 2004-05	First round	22 August 2004	TSV Aindling	Hertha BSC Berlin	0-1
DFB-Pokal 2006–07	First round	9 September 2006	TSG Thannhausen	Borussia Dortmund	0-3
