Pick	Player	Position	Nationality	NHL team	College/junior/club team
1	Alexandre Daigle	Centre	Canada	Ottawa Senators	Victoriaville Tigres ( QMJHL )
2	Chris Pronger	Defence	Canada	Hartford Whalers	Peterborough Petes ( OHL )
3	Chris Gratton	Centre	Canada	Tampa Bay Lightning	Kingston Frontenacs (OHL)
4	Paul Kariya	Left Wing	Canada	Mighty Ducks of Anaheim	University of Maine ( Hockey East )
5	Rob Niedermayer	Centre	Canada	Florida Panthers	Medicine Hat Tigers ( WHL )
6	Viktor Kozlov	Left Wing	Russia	San Jose Sharks	HC Dynamo Moscow (Russia)
7	Jason Arnott	Centre	Canada	Edmonton Oilers	Oshawa Generals (OHL)
8	Niklas Sundström	Left Wing	Sweden	New York Rangers	MODO (Sweden)
9	Todd Harvey	Centre	Canada	Dallas Stars	Detroit Jr. Red Wings (OHL)
10	Jocelyn Thibault	Goaltender	Canada	Quebec Nordiques	Sherbrooke Faucons (QMJHL)
11	Brendan Witt	Defence	Canada	Washington Capitals	Seattle Thunderbirds (WHL)
12	Kenny Jonsson	Defence	Sweden	Toronto Maple Leafs	Rögle BK (Sweden)
13	Denis Pederson	Centre	Canada	New Jersey Devils	Prince Albert Raiders (WHL)
14	Adam Deadmarsh	Centre	Canada / United States	Quebec Nordiques	Portland Winter Hawks (WHL)
15	Mats Lindgren	Centre	Sweden	Winnipeg Jets	Skelleftea AIK (Sweden)
16	Nick Stajduhar	Defence	Canada	Edmonton Oilers	London Knights (OHL)
17	Jason Allison	Centre	Canada	Washington Capitals	London Knights (OHL)
18	Jesper Mattsson	Centre	Sweden	Calgary Flames	Malmö Redhawks (Sweden)
19	Landon Wilson	Right Wing	United States	Toronto Maple Leafs	Dubuque Fighting Saints ( USHL )
20	Mike Wilson	Defence	Canada	Vancouver Canucks	Sudbury Wolves (OHL)
21	Saku Koivu	Centre	Finland	Montreal Canadiens	TPS Turku (Finland)
22	Anders Eriksson	Defence	Sweden	Detroit Red Wings	MODO (Sweden)
23	Todd Bertuzzi	Centre	Canada	New York Islanders	Guelph Storm (OHL)
24	Eric Lecompte	Left Wing	Canada	Chicago Blackhawks	Hull Olympiques (QMJHL)
25	Kevyn Adams	Centre	United States	Boston Bruins	Miami University ( CCHA )
26	Stefan Bergkvist	Defence	Sweden	Pittsburgh Penguins	Leksands IF (Sweden)
