Rank	Year	Name	Moving from	Moving to
1	2013	Willian	Shakhtar Donetsk	Anzhi Makhachkala
2	2009	Dmytro Chygrynskiy	Shakhtar Donetsk	Barcelona
3	1999	Andriy Shevchenko	Dynamo Kyiv	Milan
4	2007	Anatoliy Tymoschuk	Shakhtar Donetsk	Zenit St. Petersburg
5	2000	Serhiy Rebrov	Dynamo Kyiv	Tottenham Hotspur
6	2007	Elano	Shakhtar Donetsk	Manchester City
7	2007	Matuzalém	Shakhtar Donetsk	Real Zaragoza
8	2009	Ismaël Bangoura	Dynamo Kyiv	Rennes
9	2000	Kakha Kaladze	Dynamo Kyiv	Milan
10	2007	Ciprian Marica	Shakhtar Donetsk	Stuttgart
