Date	Tournament	Location	Winner	Score	1st prize ( $ )
Jan 8	MONY Tournament of Champions	California	Steve Jones (2)	279 (–9)	135,000
Jan 15	Bob Hope Chrysler Classic	California	Steve Jones (3)	343 (–17)	180,000
Jan 22	Phoenix Open	Arizona	Mark Calcavecchia (4)	263 (–21)	126,000
Jan 29	AT&T Pebble Beach National Pro-Am	California	Mark O'Meara (4)	277 (–11)	180,000
Feb 5	Nissan Los Angeles Open	California	Mark Calcavecchia (5)	272 (–12)	180,000
Feb 12	Hawaiian Open	Hawaii	Gene Sauers (2)	197 (–19)	135,000
Feb 19	Shearson Lehman Hutton Open	California	Greg Twiggs (1)	271 (–17)	126,000
Feb 26	Doral-Ryder Open	Florida	Bill Glasson (4)	275 (–13)	234,000
Mar 5	Honda Classic	Florida	Blaine McCallister (2)	266 (–22)	144,000
Mar 12	Nestle Invitational	Florida	Tom Kite (11)	278 (–6)	144,000
Mar 19	The Players Championship	Florida	Tom Kite (12)	279 (–9)	243,000
Mar 26	USF&G Classic	Louisiana	Tim Simpson (2)	274 (–14)	135,000
Apr 2	Independent Insurance Agent Open	Texas	Mike Sullivan (2)	280 (–8)	144,000
Apr 9	Masters Tournament	Georgia	Nick Faldo (3)	283 (–5)	200,000
Apr 16	MCI Heritage Golf Classic	South Carolina	Payne Stewart (4)	268 (–16)	144,000
Apr 23	KMart Greater Greensboro Open	North Carolina	Ken Green (5)	277 (–11)	180,000
Apr 30	Las Vegas Invitational	Nevada	Scott Hoch (4)	336 (–24)	225,000
May 7	GTE Byron Nelson Golf Classic	Texas	Jodie Mudd (2)	265 (–15)	180,000
May 14	Memorial Tournament	Ohio	Bob Tway (5)	277 (–11)	160,000
May 21	Southwestern Bell Colonial	Texas	Ian Baker-Finch (1)	270 (–10)	180,000
May 28	BellSouth Atlanta Golf Classic	Georgia	Scott Simpson (5)	278 (–10)	162,000
Jun 4	Kemper Open	Maryland	Tom Byrum (1)	268 (–16)	162,000
Jun 11	Manufacturers Hanover Westchester Classic	New York	Wayne Grady (1)	277 (–7)	180,000
Jun 18	U.S. Open	New York	Curtis Strange (17)	278 (–2)	200,000
Jun 25	Canadian Open	Canada	Steve Jones (4)	271 (–17)	162,000
Jul 3	Beatrice Western Open	Illinois	Mark McCumber (7)	275 (–13)	180,000
Jul 9	Canon Greater Hartford Open	Connecticut	Paul Azinger (5)	267 (–17)	180,000
Jul 16	Anheuser-Busch Golf Classic	Virginia	Mike Donald (1)	268 (–16)	153,000
Jul 23	Hardee's Golf Classic	Illinois	Curt Byrum (1)	268 (–12)	126,000
Jul 23	British Open	Scotland	Mark Calcavecchia (6)	275 (–13)	128,000
Jul 30	Buick Open	Michigan	Leonard Thompson (3)	273 (–15)	180,000
Aug 6	Federal Express St. Jude Classic	Tennessee	John Mahaffey (10)	272 (–12)	180,000
Aug 13	PGA Championship	Illinois	Payne Stewart (5)	276 (–12)	200,000
Aug 20	The International	Colorado	Greg Norman (7)	20 ( Stableford )	180,000
Aug 27	NEC World Series of Golf	Ohio	David Frost (3)	276 (–4)	180,000
Aug 27	Chattanooga Classic	Tennessee	Stan Utley (1)	263 (–17)	90,000
Sep 3	Greater Milwaukee Open	Wisconsin	Greg Norman (8)	269 (–19)	144,000
Sep 10	B.C. Open	New York	Mike Hulbert (2)	268 (–16)	90,000
Sep 17	Bank of Boston Classic	Massachusetts	Blaine McCallister (3)	271 (–13)	126,000
Sep 24	Southern Open	Georgia	Ted Schulz (1)	266 (–14)	72,000
Oct 1	Centel Classic	Florida	Bill Britton (1)	200 (–16)	135,000
Oct 8	Texas Open	Texas	Donnie Hammond (2)	258 (–22)	108,000
Oct 21	Walt Disney World/Oldsmobile Classic	Florida	Tim Simpson (3)	272 (–16)	144,000
Oct 29	Nabisco Championship	South Carolina	Tom Kite (13)	276 (–8)	450,000
