Tournament	2006	2007	2008	2009	2010	2011	2012
Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments
Australian Open	A	A	2R	2R	1R	Q2	Q3
French Open	A	2R	3R	2R	1R	2R	1R
Wimbledon	A	2R	3R	2R	A	3R	1R
US Open	A	2R	1R	1R	A	A	A
Win–Loss	0–0	3–3	5–4	3–4	0–2	3–2	0–2
ATP World Tour Masters 1000	ATP World Tour Masters 1000	ATP World Tour Masters 1000	ATP World Tour Masters 1000	ATP World Tour Masters 1000	ATP World Tour Masters 1000	ATP World Tour Masters 1000	ATP World Tour Masters 1000
Indian Wells Masters	A	A	1R	1R	A	A	A
Miami Masters	A	3R	3R	1R	A	Q2	1R
Monte Carlo Masters	A	A	2R	3R	1R	Q2	1R
Rome Masters	1R	1R	3R	1R	2R	1R	Q1
Madrid Masters	A	A	2R	2R	A	A	A
Canada Masters	A	A	1R	A	A	A	A
Cincinnati Masters	A	A	2R	1R	A	A	A
Shanghai Masters	NMS	NMS	NMS	A	A	A	A
Paris Masters	A	A	2R	A	A	A	A
Hamburg Masters	A	1R	2R	Not Masters Series	Not Masters Series	Not Masters Series	Not Masters Series
Win–Loss	0–1	2–3	9–9	3–6	1–2	0–1	0–2
Career Statistics	Career Statistics	Career Statistics	Career Statistics	Career Statistics	Career Statistics	Career Statistics	Career Statistics
Titles-Finals	0–0	0–0	0–1	0–0	0–0	0–0	0–0
Year-End Ranking	127	67	41	93	107	134	84
