Week	Date	Opponent	Result	Game site	Attendance
1	1997-08-31	Seattle Seahawks	W 41–3	Kingdome	53,893
2	1997-09-07	Buffalo Bills	L 28–22	The Meadowlands	72,988
3	1997-09-14	New England Patriots	L 27–24 (OT)	Foxboro Stadium	60,072
4	1997-09-21	Oakland Raiders	W 23–22	The Meadowlands	72,586
5	1997-09-28	Cincinnati Bengals	W 31–14	Cinergy Field	57,209
6	1997-10-05	Indianapolis Colts	W 16–12	RCA Dome	48,295
7	1997-10-12	Miami Dolphins	L 31–20	The Meadowlands	75,601
8	1997-10-19	New England Patriots	W 24–19	The Meadowlands	71,061
9	Bye	Bye	Bye	Bye	Bye
10	1997-11-02	Baltimore Ravens	W 19–16 (OT)	The Meadowlands	59,524
11	1997-11-09	Miami Dolphins	L 24–17	Pro Player Stadium	73,809
12	1997-11-16	Chicago Bears	W 23–15	Soldier Field	45,642
13	1997-11-23	Minnesota Vikings	W 23–21	The Meadowlands	70,131
14	1997-11-30	Buffalo Bills	L 20–10	Rich Stadium	47,776
15	1997-12-07	Indianapolis Colts	L 22–14	The Meadowlands	61,168
16	1997-12-14	Tampa Bay Buccaneers	W 31–0	The Meadowlands	60,122
17	1997-12-21	Detroit Lions	L 13–10	Pontiac Silverdome	77,624
