Outcome	Year	Championship	Surface	Opponent in the final	Score in the final
Runner-up	1963	Wimbledon	Grass	Margaret Court	6–3, 6–4
Runner-up	1965	U.S. Championships	Grass	Margaret Court	8–6, 7–5
Winner	1966	Wimbledon (1)	Grass	Maria Bueno	6–3, 3–6, 6–1
Winner	1967	Wimbledon (2)	Grass	Ann Haydon-Jones	6–3, 6–4
Winner	1967	U.S. Championships (1)	Grass	Ann Haydon-Jones	11–9, 6–4
Winner	1968	Australian Championships (1)	Grass	Margaret Court	6–1, 6–2
Winner	1968	Wimbledon (3)	Grass	Judy Tegart Dalton	9–7, 7–5
Runner-up	1968	US Open	Grass	Virginia Wade	6–4, 6–2
Runner-up	1969	Australian Open	Grass	Margaret Court	6–4, 6–1
Runner-up	1969	Wimbledon	Grass	Ann Haydon-Jones	3–6, 6–3, 6–2
Runner-up	1970	Wimbledon	Grass	Margaret Court	14–12, 11–9
Winner	1971	US Open (2)	Grass	Rosemary Casals	6–4, 7–6
Winner	1972	French Open	Clay	Evonne Goolagong	6–3, 6–3
Winner	1972	Wimbledon (4)	Grass	Evonne Goolagong	6–3, 6–3
Winner	1972	US Open (3)	Grass	Kerry Melville Reid	6–3, 7–5
Winner	1973	Wimbledon (5)	Grass	Chris Evert	6–0, 7–5
Winner	1974	US Open (4)	Grass	Evonne Goolagong	3–6, 6–3, 7–5
Winner	1975	Wimbledon (6)	Grass	Evonne Goolagong Cawley	6–0, 6–1
