Tie no	Home team	Score	Away team	Attendance
1	Enfield	1–1	Peterborough United	7 December 1996
Replay	Peterborough United	4–1	Enfield	17 December 1996
2	Blackpool	0–1	Hednesford Town	7 December 1996
3	Chester City	1–0	Boston United	7 December 1996
4	Chesterfield	2–0	Scarborough	7 December 1996
5	Barnet	3–3	Wycombe Wanderers	7 December 1996
Replay	Wycombe Wanderers	3–2	Barnet	17 December 1996
6	Bristol City	9–2	St Albans City	7 December 1996
7	Preston North End	2–3	York City	7 December 1996
8	Watford	5–0	Ashford Town	7 December 1996
9	Walsall	1–1	Burnley	7 December 1996
Replay	Burnley	1–1	Walsall	23 December 1996
Burnley won 4–2 on penalties	Burnley won 4–2 on penalties	Burnley won 4–2 on penalties	Burnley won 4–2 on penalties	Burnley won 4–2 on penalties
10	Notts County	3–1	Rochdale	7 December 1996
11	Luton Town	2–1	Boreham Wood	7 December 1996
12	Wrexham	2–2	Scunthorpe United	7 December 1996
Replay	Scunthorpe United	2–3	Wrexham	17 December 1996
13	Plymouth Argyle	4–1	Exeter City	6 December 1996
14	Hull City	1–5	Crewe Alexandra	7 December 1996
15	Carlisle United	1–0	Darlington	7 December 1996
16	Mansfield Town	0–3	Stockport County	7 December 1996
17	Cardiff City	0–2	Gillingham	7 December 1996
18	Leyton Orient	1–2	Stevenage Borough	7 December 1996
19	Sudbury Town	1–3	Brentford	7 December 1996
20	Cambridge United	0–2	Woking	7 December 1996
