Round	Pick	Overall	Name	Position	College
1	10	10	Forest Evashevski	RB	Michigan
3	10	25	Fred Davis	OT	Alabama
5	10	40	Jim Stuart	OT	Oregon
6	10	50	Ed Cifers	E	Tennessee
7	10	60	Al Krueger	E	Southern California
8	10	70	Henry Wilder	RB	Iowa State
9	10	80	Bill Grimmett	E	Tulsa
10	10	90	Ed Hickerson	G	Alabama
11	10	100	Joe Aguirre	E	St. Mary's (Cal.) [t ]
12	10	110	Jack Banta	HB	Southern California
13	10	120	Roy Conn	OT	Arizona
14	10	130	Deward Tornell	RB	San José State
15	10	140	Morris Buckingham	C	San José State
16	10	150	Ken Dow	FB	Oregon State
17	10	160	Stan McRae	E	Michigan State
18	10	170	Joe Osmanski	FB	Holy Cross
19	10	180	Earl Fullilove	OT	Georgetown
20	10	190	Ed Hiestand	E	Vanderbilt
21	5	195	Tom Riggs	OT	Illinois
22	5	200	Lee Gentry	HB	Tulsa
