Date of Issue	Denomination	Design	Paper Type	First Day Cover Cancellation
7 January 2005	50 cents	Hélène L’Heureux	Tullis Russell Coatings	Vancouver, BC
7 January 2005	$1.45	Hélène L’Heureux	Tullis Russell Coatings	Vancouver, BC
29 January 2005	$0.50	Stéphane Huot	Tullis Russell Coatings	Edmonton, Alberta
4 February 2005	$0.50	Circle Design Inc.	Tullis Russell Coatings	Granby, QC
14 February 2005	$0.50	Denis L’Allier	Fasson	Truro , Nova Scotia
4 March 2005	$0.50	HM&E Design	Tullis Russell Coatings	Vancouver , BC
10 March 2005	$0.50	Isabelle Toussaint	Fasson	Vancouver , BC
23 March 2005	$0.50	Rolf Harder	Tullis Russell Coatings	Fredericton , New Brunswick
2 April 2005	$0.50	Designwerke Inc., Andrew Perro	Tullis Russell Coatings	Montreal, QC and Halifax, NS
12 April 2005	$0.50	52 Pick-up Inc.	Tullis Russell Coatings	Toronto , ON
22 April 2005	$0.50	Xerxes Irani	Tullis Russell Coatings	Waterton Park , AB
29 April 2005	$0.50	Derek Sarty	Tullis Russell Coatings	Halifax , NS
6 May 2005	$0.50	Tilt Telmet and Marko Barac	Tullis Russell Coatings	Ottawa , ON
27 May 2005	$0.50	Hélène L’Heureux	Tullis Russell Coatings	Kitchener , ON
13 June 2005	$0.50	François Dallaire	Tullis Russell Coatings	Victoria , BC
13 June 2005	$0.50	François Dallaire	Tullis Russell Coatings	Victoria, BC
21 June 2005	$0.50	Katalin Kovats	Tullis Russell Coatings	Hamilton, Ontario
