Region	Host	Venue	City	State
OR West	Northeast Louisiana University	Ewing Coliseum	Monroe	Louisiana
OR East	Dartmouth College	Alumni Gymnasium	Hanover	New Hampshire
OR Mideast	La Salle University	Hayman Hall (Tom Gola Arena)	Philadelphia	Pennsylvania
OR Midwest	Jackson State University	Williams Assembly Center	Jackson	Mississippi
East	Old Dominion University	Old Dominion University Fieldhouse	Norfolk	Virginia
East	University of Maryland, College Park	Cole Field House	College Park	Maryland
East	Cheyney State University of Pennsylvania	Cope Hall	Cheyney	Pennsylvania
East	North Carolina State University	Reynolds Coliseum	Raleigh	North Carolina
Mideast	University of Tennessee	Stokely Athletic Center	Knoxville	Tennessee
Mideast	University of Kentucky	Memorial Coliseum	Lexington	Kentucky
Mideast	University of Mississippi	Tad Smith Coliseum	University	Mississippi
Mideast	University of Georgia	Georgia Coliseum (Stegeman Coliseum)	Athens	Georgia
Midwest	Kansas State University	Ahearn Field House	Manhattan	Kansas
Midwest	Louisiana Tech University	Thomas Assembly Center	Ruston	Louisiana
Midwest	Auburn University	Memorial Coliseum (Beard–Eaves–Memorial Coliseum)	Auburn	Alabama
Midwest	University of Texas at Austin	Frank Erwin Center	Austin	Texas
West	California State University, Long Beach	University Gym (Gold Mine)	Long Beach	California
West	Arizona State University	University Activity Center (Wells Fargo Arena)	Tempe	Arizona
West	University of Southern California	Los Angeles Memorial Sports Arena	Los Angeles	California
West	Oregon State University	Gill Coliseum	Corvallis	Oregon
