No. in series	Title	Directed by	Written by	Original air date	U.S. viewers (million)
1	"Pilot"	Charles McDougall	Robert King & Michelle King	September22,2009	13.71
2	"Stripped"	Charles McDougall	Robert King & Michelle King	September29,2009	13.69
3	"Home"	Scott Ellis	Dee Johnson	October6,2009	13.69
4	"Fixed"	Dan Minahan	Todd Ellis Kessler	October13,2009	12.98
5	"Crash"	Gloria Muzio	Ted Humphrey	October20,2009	13.26
6	"Conjugal"	Rod Holcomb	Angela Amato Velez	November3,2009	12.74
7	"Unorthodox"	John Polson	Robert King & Michelle King	November10,2009	13.35
8	"Unprepared"	Jim McKay	Corinne Brinkerhoff	November17,2009	12.70
9	"Threesome"	James Whitmore, Jr.	Ted Humphrey	November24,2009	12.53
10	"Lifeguard"	Paris Barclay	Tom Smuts	December15,2009	14.17
11	"Infamy"	Nelson McCormick	Todd Ellis Kessler	January5,2010	13.98
12	"Painkiller"	Steve Shill	Corinne Brinkerhoff	January12,2010	13.87
13	"Bad"	Alex Zakrzewski	Ted Humphrey	February2,2010	12.72
14	"Hi"	John Gallagher	Robert King & Michelle King & Barry Schkolnick	February9,2010	14.75
15	" Bang "	Rod Holcomb	Courtney Kemp Agboh	March2,2010	13.29
16	" Fleas "	Rosemary Rodriguez	Amanda Segel	March9,2010	13.91
17	"Heart"	Félix Alcalá	Corinne Brinkerhoff	March16,2010	13.41
18	"Doubt"	Félix Alcalá	Karen Hall	April6,2010	12.06
19	"Boom"	Lesli Linka Glatter	Ted Humphrey	April27,2010	12.07
20	"Mock"	Rod Holcomb	Todd Ellis Kessler	May4,2010	12.88
21	"Unplugged"	Christopher Misiano	Karen Hall	May11,2010	12.85
22	"Hybristophilia"	Frederick E. O. Toye	Frank Pierson	May18,2010	12.17
