Week	Date	Opponent	Result	Venue	Attendance
1	September 13, 1964	Chicago Bears	W 23–12	City Stadium	42,327
2	September 20, 1964	Baltimore Colts	L 21–20	City Stadium	42,327
3	September 28, 1964	at Detroit Lions	W 14–10	Tiger Stadium	59,203
4	October 4, 1964	Minnesota Vikings	L 24–23	City Stadium	42,327
5	October 11, 1964	San Francisco 49ers	W 24–14	Milwaukee County Stadium	47,380
6	October 18, 1964	at Baltimore Colts	L 24–21	Memorial Stadium	60,213
7	October 25, 1964	Los Angeles Rams	L 27–17	Milwaukee County Stadium	47,617
8	November 1, 1964	at Minnesota Vikings	W 42–13	Metropolitan Stadium	44,278
9	November 8, 1964	Detroit Lions	W 30–7	City Stadium	42,327
10	November 15, 1964	at San Francisco 49ers	L 24–14	Kezar Stadium	38,483
11	November 22, 1964	Cleveland Browns	W 28–21	Milwaukee County Stadium	48,065
12	November 29, 1964	at Dallas Cowboys	W 45–21	Cotton Bowl	44,975
13	December 5, 1964	at Chicago Bears	W 17–3	Wrigley Field	43,636
14	December 13, 1964	at Los Angeles Rams	T 24–24	Los Angeles Memorial Coliseum	40,735
