Week	Date	Opponent	Result	Attendance
1	September 3, 2000	at Cleveland Browns	W 27–7	72,418
2	September 10, 2000	at Baltimore Ravens	L 39–36	68,843
3	September 17, 2000	Cincinnati Bengals	W 13–0	45,653
4	September 25, 2000	at Indianapolis Colts	L 43–14	56,816
5	October 1, 2000	Pittsburgh Steelers	L 24–13	64,351
6	October 8, 2000	Baltimore Ravens	L 15–10	65,194
7	October 16, 2000	at Tennessee Titans	L 27–13	68,498
8	October 22, 2000	Washington Redskins	L 35–16	69,061
9	October 29, 2000	at Dallas Cowboys	W 23–17 (OT)	63,554
10	Bye	Bye	Bye	Bye
11	November 12, 2000	Seattle Seahawks	L 28–21	68,063
12	November 19, 2000	at Pittsburgh Steelers	W 34–24	50,925
13	November 26, 2000	Tennessee Titans	W 16–13	65,454
14	December 3, 2000	Cleveland Browns	W 48–0	51,262
15	December 10, 2000	Arizona Cardinals	W 44–10	53,472
16	December 17, 2000	at Cincinnati Bengals	L 17–14	50,469
17	December 23, 2000	at New York Giants	L 28–25	77,924
