Year	Men's singles	Women's singles	Men's doubles	Women's doubles	Mixed doubles
1948/1949	R. Mommaerts	de Barry	L. St. Lawrence J. B. Laidlaw	no competition	L. St. Lawrence J. B. Laidlaw
1949/1950	S. Joy	N. Penning	S. Joy J. B. Laidlaw	N. Penning Boomer	S. Joy N. Penning
1950/1951	S. Joy	N. Penning	S. Joy L. St. Lawrence	N. Joy N. Penning	S. Joy N. Penning
1951/1952	Guy van Branteghem	N. Joy	S. Joy L. St. Lawrence	N. Joy N. Penning	S. Joy N. Penning
1952/1953	B. Blake	N. Joy	B. Grouch Guy van Branteghem	N. Joy N. Penning	S. Joy N. Penning
1953/1954	C. Murray	N. Joy	S. Joy L. St. Lawrence	N. Joy N. Penning	S. Joy N. Penning
1954/1955	Guy van Branteghem	J. Boulet	S. Joy B. Blake	N. Joy N. Penning	S. Joy N. Penning
1955/1956	Guy van Branteghem	J. Boulet	Guy van Branteghem J. Boulet	J. Boulet J. Verplancke de Diepenhede	Faber J. Boulet
1956/1957	Guy van Branteghem	J. Boulet	Guy van Branteghem J. Boulet	J. Boulet F. Malevez	Guy van Branteghem J. Boulet
1957/1958	Guy van Branteghem	J. Boulet	C. Bar Jack Stuart	J. Boulet F. Malevez	Guy van Branteghem J. Boulet
1958/1959	Guy van Branteghem	J. Boulet	C. Bar Jack Stuart	J. Boulet F. Malevez	Guy van Branteghem J. Boulet
1959/1960	Anton Verstoep	Bep Verstoep	Guy van Branteghem Anton Verstoep	J. Boulet F. Malevez	Anton Verstoep Bep Verstoep
1960/1961	Anton Verstoep	Bep Verstoep	Jack Stuart Herman Moens	Bep Verstoep June Vander Willigen	Anton Verstoep Bep Verstoep
1961/1962	Anton Verstoep	no competition	Guy van Branteghem Anton Verstoep	no competition	Anton Verstoep Bep Verstoep
1962/1963	Anton Verstoep	Bep Verstoep	Jack Stuart Herman Moens	no competition	Herman Moens June Vander Willigen
1963/1964	Anton Verstoep	June Vander Willigen	Roger van Meerbeek Herman Moens	Bep Verstoep June Vander Willigen	Herman Moens June Vander Willigen
1964/1965	Herman Moens	Bep Verstoep	Roger van Meerbeek Herman Moens	Bep Verstoep June Jacques	Herman Moens Bep Verstoep
1965/1966	Roger van Meerbeek	Bep Verstoep	Roger van Meerbeek Herman Moens	Bep Verstoep Gerda Moens	Herman Moens Bep Verstoep
1966/1967	Roger van Meerbeek	June Jacques	Roger van Meerbeek Herman Moens	June Jacques Gerda Moens	Herman Moens Gerda Moens
1967/1968	Herman Moens	June Jacques	Roger van Meerbeek Herman Moens	June Jacques Gerda Moens	Herman Moens Gerda Moens
1968/1969	Roger van Meerbeek	June Jacques	Roger van Meerbeek Herman Moens	June Jacques Gerda Cairns	Herman Moens Gerda Cairns
1969/1970	Herman Moens	no competition	Roger van Meerbeek Herman Moens	no competition	Roger van Meerbeek June Jacques
1970/1971	Herman Moens	June Jacques	Roger van Meerbeek Herman Moens	June Jacques Gerda Cairns	Herman Moens Gerda Cairns
1971/1972	Herman Moens	Gerda Cairns	Roger van Meerbeek Herman Moens	Anne Devillers C. Remy	Herman Moens Gerda Cairns
1972/1973	Daniel Gosset	June Jacques	Roger van Meerbeek Herman Moens	June Jacques Gerda Cairns	Herman Moens Gerda Cairns
1973/1974	Michel Gosset	Kirsten Ballisager	Roger van Meerbeek Herman Moens	Kirsten Ballisager Raidorf	Herman Moens Gerda Cairns
1974/1975	Michel Gosset	Kirsten Ballisager	Roger van Meerbeek Herman Moens	Kirsten Ballisager Francoise Kaiser	Herman Moens Gerda Cairns
1975/1976	Daniel Gosset	Francoise Kaiser	Michel Gosset Johannes Johari	Kirsten Ballisager Francoise Kaiser	Herman Moens Gerda Cairns
1976/1977	Daniel Gosset	Ruth Williams	Jean Pierre Bauduin Benny Tan Ook Djie	Francoise Kaiser Gerda Cairns	Herman Moens Gerda Cairns
1977/1978	Jean Pierre Bauduin	Francoise Kaiser	Jean Pierre Bauduin José Isasi	Ruth Williams Maria Desy	José Isasi V. Isasi
1978/1979	Jean Pierre Bauduin	Francoise Kaiser	Jean Pierre Bauduin John Jaury	Nadine Vermeulen Linda Drossaert	Dominique Kaiser Francoise Kaiser
1979/1980	Jean Pierre Bauduin	Francoise Kaiser	Jean Pierre Bauduin John Jaury	Ingrid Swiggers Ingrid Rijcken	Patrick de Ruisseau Ingrid Swiggers
1980/1981	Jean Pierre Bauduin	Ingrid Swiggers	Jean Pierre Bauduin John Jaury	Ingrid Swiggers Ingrid Rijcken	José Isasi V. Isasi
1981/1982	Jan de Mulder	Ingrid Swiggers	Michel Bauduin Christian Bene	Ingrid Swiggers Ingrid Rijcken	Patrick de Ruisseau Ingrid Swiggers
1982/1983	Jos Warmoes	Ingrid Swiggers	Jean Pierre Bauduin Cristian Bene	Ingrid Swiggers Marie-Christine Donnay	Jan de Mulder Ingrid Rijcken
1983/1984	Eddy van Herbruggen	Ingrid Swiggers	Patrick de Ruisseau Eddy van Herbruggen	Ingrid Swiggers Greet van Haverbeke	Patrick de Ruisseau Ingrid Swiggers
1984/1985	Jan de Mulder	Ingrid Swiggers	Jan de Mulder Eddy van Herbruggen	Ingrid Swiggers Linda Drossaert	Eddy van Herbruggen Greet van Haverbeke
1985/1986	Eddy van Herbruggen	Ingrid Swiggers	Jan de Mulder Eddy van Herbruggen	Ingrid Swiggers Greet van Haverbeke	Yves de Negri Nancy de Mey
1986/1987	Jan de Mulder	Ingrid Swiggers	Jan de Mulder José Isasi	Ingrid Swiggers Greet van Haverbeke	Eddy van Herbruggen Greet van Haverbeke
1987/1988	Eddy van Herbruggen	Ingrid Swiggers	Jan de Mulder Dario van Nauw	Ingrid Swiggers Greet van Haverbeke	Filip Vigneron Ingrid Swiggers
1988/1989	Jan de Mulder	Ingrid Swiggers	Jan de Mulder Filip Vigneron	Ingrid Swiggers Greet van Haverbeke	Filip Vigneron Ingrid Swiggers
1989/1990	Eddy van Herbruggen	Isabelle Meuleman	Jan de Mulder Filip Vigneron	Isabelle Meuleman Marina Saubergs	Eddy van Herbruggen Isabelle Meuleman
1990/1991	Jan de Mulder	Marie-Christine Donnay	Eddy van Herbruggen Dario van Nauw	Ingrid Swiggers Sabine Langenaekens	Filip Vigneron Ingrid Swiggers
1991/1992	Pedro Vanneste	Annemie Buyse	Eddy van Herbruggen Yves de Negri	Heidi Vrancken Annemie Buyse	Pedro Vanneste Annemie Buyse
1992/1993	Pedro Vanneste	Heidi Vrancken	Filip Vigneron Yves de Negri	Ingrid Swiggers Peggy Mampaey	Pedro Vanneste Heidi Vrancken
1993/1994	Pedro Vanneste	Caroline Persyn	Van Bouwel De Leeuw	Caroline Persyn Peggy Mampaey	Pedro Vanneste Heidi Vrancken
1994/1995	Pedro Vanneste	Peggy Mampaey	De Rijcke Pedro Vanneste	Caroline Persyn Peggy Mampaey	Dalli Cardillo Peggy Mampaey
1995/1996	Pedro Vanneste	Caroline Persyn	Dalli Cardillo Filip Vigneron	Caroline Persyn Mallory Gosset	Pedro Vanneste Mallory Gosset
1996/1997	Pedro Vanneste	Mallory Gosset	Pedro Vanneste Alain Deleeuw	Mallory Gosset Anetha Stamboliyska	David Vandewinkel Peggy Mampaey
1997/1998	Pedro Vanneste	Mallory Gosset	Patrick Boonen David Vandewinkel	Mallory Gosset Manon Albinus	Wouter Claes Manon Albinus
1998/1999	Ruud Kuijten	Peggy Mampaey	David Vandewinkel Patrick Boonen	Peggy Mampaey Manon Albinus	Ruud Kuijten Manon Albinus
1999/2000	Ruud Kuijten	Peggy Mampaey	David Vandewinkel Patrick Boonen	Peggy Mampaey Manon Albinus	Ruud Kuijten Manon Albinus
2000/2001	Ruud Kuijten	Hanny Setiani Juhari	Wouter Claes Frederic Mawet	Peggy Mampaey Manon Albinus	Wouter Claes Manon Albinus
2001/2002	Ruud Kuijten	Elke Biesbrouck	Wouter Claes Frederic Mawet	Veerle Rakels Nathalie Descamps	Wouter Claes Manon Albinus
2002/2003	Ruud Kuijten	Elke Biesbrouck	Wouter Claes Frederic Mawet	Veerle Rakels Nathalie Descamps	Dalli Cardillo Veerle Rakels
2003/2004	Ruud Kuijten	Nathalie Descamps	Wouter Claes Ruud Kuijten	Agnieszka Czerwinska Sofie Robbrecht	Wouter Claes Corina Herrle
2004/2005	Ruud Kuijten	Nathalie Descamps	Wouter Claes Ruud Kuijten	Katrien Claes Nathalie Descamps	Wouter Claes Nathalie Descamps
2005/2006	Yuhan Tan	Nathalie Descamps	Wouter Claes Frederic Mawet	Nathalie Descamps Sofie Robbrecht	Wouter Claes Nathalie Descamps
2006/2007	David Jaco	Nathalie Descamps	Wouter Claes Frederic Mawet	Nathalie Descamps Sabine Devooght	Wouter Claes Nathalie Descamps
2007/2008	Yuhan Tan	Nathalie Descamps	Wouter Claes Frederic Mawet	Severine Corvilain Steffi Annys	Wouter Claes Nathalie Descamps
2008/2009	Yuhan Tan	Nathalie Descamps	Wouter Claes Frederic Mawet	Severine Corvilain Steffi Annys	Wouter Claes Nathalie Descamps
2009/2010	Yuhan Tan	Lianne Tan	Wouter Claes Frederic Mawet	Janne Elst Jelske Snoeck	Wouter Claes Nathalie Descamps
2010/2011	David Jaco	Lianne Tan	Matijs Dierickx Freek Golinski	Steffi Annys Severine Corvilain	Gert Poesen Manon Albinus
2011/2012	Yuhan Tan	Lianne Tan	Jonathan Gillis Maxime Moreels	Nining Kustyaningsih Lianne Tan	Frédéric Gaspard Sabine Devooght
2012/2013	Yuhan Tan	Lianne Tan	Matijs Dierickx Freek Golinski	Janne Elst Jelske Snoeck	Freek Golinski Janne Elst
