Game	Date	Opponent	Score	Location	Record
58	Sun. Mar. 2	Detroit Pistons	129–109	Boston Garden	47–11
59	Tue. Mar. 4	@ Chicago Bulls	106–94	Chicago Stadium	48–11
60	Wed. Mar. 5	Chicago Bulls	108–97	Boston Garden	49–11
61	Fri. Mar. 7	New York Knicks	115–108	Boston Garden	50–11
62	Sat. Mar. 8	@ Washington Bullets	108–110 (OT)	Capital Centre	50–12
63	Mon. Mar. 10	@ Dallas Mavericks	115–116	Reunion Arena	50–13
64	Tue. Mar. 11	@ Houston Rockets	116–104	The Summit	51–13
65	Thu. Mar. 13	@ San Antonio Spurs	135–119	HemisFair Arena	52–13
66	Fri. Mar. 14	@ Atlanta Hawks	121–114	The Omni	53–13
67	Sun. Mar. 16	Philadelphia 76ers	118–101	Boston Garden	54–13
68	Tue. Mar. 18	Cleveland Cavaliers	126–96	Hartford Civic Center	55–13
69	Wed. Mar. 19	Indiana Pacers	127–108	Boston Garden	56–13
70	Fri. Mar. 21	Chicago Bulls	126–105	Boston Garden	57–13
71	Mon. Mar. 24	Houston Rockets	114–107	Boston Garden	58–13
72	Wed. Mar. 26	Milwaukee Bucks	121–115	Boston Garden	59–13
73	Fri. Mar. 28	Washington Bullets	116–97	Boston Garden	60–13
74	Sun. Mar. 30	New Jersey Nets	122–117	Boston Garden	61–13
