Aircraft	Origin	Type	Versions	In service
Cessna A-37 Dragonfly	United States	attack/fighter	A-37B	12 (16 delivered)
FMA IA 58 Pucará	Argentina	attack	A-58	5 (6 delivered)
Lockheed C-130 Hercules	United States	transport/utility	C-130B	2
Embraer EMB 110 Bandeirante	Brazil	transport/utility	C-95	3
Beechcraft Twin Bonanza	United States	transport/utility	D50	1
CASA C-212 Aviocar	Spain	transport	C-212-200	2
Embraer EMB 120 Brasilia	Brazil	transport	EMB 120	1
Cessna 206 Stationair	United States	utility/liaison	U206H	10
Beechcraft B58 Baron	United States	trainer/liaison	B-58	2
British Aerospace 125	United Kingdom	VIP transport	700A 600A	2
Aermacchi SF.260	Italy	trainer	T-260 EU	12
Pilatus PC-7 Turbo Trainer	Switzerland	trainer	AT-92	5 (6 delivered)
Cessna T-41 Mescalero	United States	trainer	T-41D	7
Aerospatiale AS 365 Dauphin	France	liaison/transport	AS 365	1
Bell 212 Twin Huey	United States	transport/utility	Bell 212	4
Bell UH-1 Iroquois	United States	transport/utility	UH-1H	13
