Game	December	Opponent	Score	Record
22	2	@ Toronto Maple Leafs	5 - 2	13-5-4
23	3	Boston Bruins	3 - 2	13-6-4
24	6	St. Louis Blues	7 - 4	14-6-4
25	7	@ Philadelphia Flyers	5 - 2	15-6-4
26	9	@ Detroit Red Wings	5 - 4	15-7-4
27	10	Philadelphia Flyers	4 - 0	15-8-4
28	13	Los Angeles Kings	8 - 7	16-8-4
29	16	@ Boston Bruins	4 - 1	16-9-4
30	17	Boston Bruins	4 - 1	16-10-4
31	20	Buffalo Sabres	6 - 3	17-10-4
32	22	Detroit Red Wings	4 - 2	18-10-4
33	23	@ New York Islanders	9 - 4	18-11-4
34	26	@ Atlanta Flames	5 - 3	19-11-4
35	28	@ Philadelphia Flyers	6 - 5	19-12-4
36	30	@ Chicago Black Hawks	5 - 4	20-12-4
37	31	Atlanta Flames	6 - 5	20-13-4
