Fin. Pos	Car No.	Driver	Team	Laps	Time/Retired	Grid	Laps Led	Points
1	11	Tony Kanaan	Andretti Green	200	2:49:38.0509	8	29	50
2	26	Marco Andretti	Andretti Green	200	+0.0595	13	12	40
3	8	Scott Sharp	Rahal Letterman	200	+0.3867	4	11	35
4	55	Kosuke Matsuura	Panther Racing	200	+0.4703	14	0	32
5	15	Buddy Rice	Dreyer & Reinbold Racing	200	+4.9097	17	0	30
6	17	Ryan Hunter-Reay	Rahal Letterman	200	+10.0114	12	0	28
7	7	Danica Patrick	Andretti Green	199	+1 Lap	9	5	26
8	22	A. J. Foyt IV	Vision Racing	167	Mechanical	15	0	24
9	6	Sam Hornish, Jr.	Team Penske	148	Mechanical	2	1	22
10	9	Scott Dixon	Target Chip Ganassi	145	Handling	7	14	20
11	2	Tomas Scheckter	Vision Racing	144	Collision	6	2	19
12	10	Dan Wheldon	Target Chip Ganassi	143	Collision	5	24	18
13	27	Dario Franchitti	Andretti Green	143	Collision	1	102	17+3
14	20	Ed Carpenter	Vision Racing	143	Collision	10	0	16
15	14	Darren Manning	A.J. Foyt Racing	113	Accident	18	0	15
16	5	Sarah Fisher	Dreyer & Reinbold Racing	83	Accident	16	0	14
17	3	Hélio Castroneves	Team Penske	58	Collision	3	0	13
18	4	Vitor Meira	Panther Racing	58	Collision	11	0	12
19	23	Milka Duno (R)	SAMAX Motorsport	43	Mechanical	19	0	12
20	19	Jon Herb	Racing Professionals	26	Accident	20	0	12
