University	Nick	University status	Founded	Location	Division	Specialization	Website
University of Dhaka	DU	1921	1921	Dhaka	Dhaka division	General	univdhaka.edu
Chittagong University of Engineering & Technology	CUET	2003	1968	Chittagong	Chittagong division	Engineering	cuet.ac.bd
Rajshahi University of Engineering & Technology	RUET	2002	1964	Rajshahi	Rajshahi division	Engineering	ruet.ac.bd
Khulna University of Engineering & Technology	KUET	2003	1969	Khulna	Khulna division	Engineering	kuet.ac.bd
Bangladesh University of Textiles	BUTex	2010	1978	Dhaka	Dhaka division	Textile engineering	butex.edu.bd
Noakhali Science and Technology University	NSTU	2006	2006	Noakhali	Chittagong division	Science & technology	nstu.edu.bd
Sher-e-Bangla Agricultural University	SAU	2001	1938	Dhaka	Dhaka division	Agricultural science	sau.edu.bd
Bangladesh University of Professionals	BUP	2008	2008	Dhaka	Dhaka division	General	bup.edu.bd
Barisal University	BU	2011	2011	Barisal	Barisal division	General	barisaluniv.edu.bd
Bangladesh Agricultural University	BAU	1961	1961	Mymensingh	Dhaka division	Agricultural science	bau.edu.bd
Jahangirnagar University	JU	1970	1970	Savar	Dhaka division	General	juniv.edu
Bangabandhu Sheikh Mujib Medical University	BSMMU	1998	1965	Dhaka	Dhaka division	Medical	bsmmu.edu.bd
Mawlana Bhashani Science and Technology University	MBSTU	1999	1999	Tangail	Dhaka division	Science & technology	mbstu.ac.bd
Dhaka University of Engineering & Technology	DUET	2003	1980	Gazipur	Dhaka division	Engineering	duet.ac.bd
Jagannath University	JnU	2005	1858	Dhaka	Dhaka division	General	jnu.ac.bd
Jatiya Kabi Kazi Nazrul Islam University	KNU	2005	2005	Trishal	Dhaka division	General	jkkniu.edu.bd
Begum Rokeya University	BRU	2008	2008	Rangpur	Rangpur division	General	brur.ac.bd
Khulna University	KU	1991	1991	Khulna	Khulna division	General	ku.ac.bd
Islamic University	IU	1980	1980	Kushtia	Khulna division	Islam	iubd.net
Jessore Science & Technology University	JSTU	2008	2008	Jessore	Khulna division	Science & technology	jstu.edu.bd
Pabna University of Science and Technology	PUST	2008	2008	Pabna	Rajshahi division	Science & technology	pust.ac.bd
Patuakhali Science and Technology University	PSTU	2002	2002	Patuakhali	Barisal division	Science & technology	pstu.ac.bd
Rajshahi University	RU	1953	1953	Rajshahi	Rajshahi division	General	ru.ac.bd
Comilla University	UC	2006	2006	Comilla	Chittagong division	General	cou.ac.bd
Shahjalal University of Science and Technology	SUST	1986	1986	Sylhet	Sylhet division	Science & technology	SUST.edu
Sylhet Agricultural University	SAU	2006	1995	Sylhet	Sylhet division	Agricultural science	sau.ac.bd
