Country	Skip	W	L	PF	PA	Ends Won	Ends Lost	Blank Ends	Stolen Ends	Shot %
Norway	Torger Nergård	10	1	78	43	52	32	4	18	85
Canada	Kevin Koe	9	2	86	47	47	35	0	15	86
United States	Pete Fenson	8	3	73	52	43	40	8	9	80
Scotland	David Smith	8	3	74	57	40	38	12	7	80
Denmark	Ulrik Schmidt	7	4	71	62	44	46	8	6	79
Switzerland	Stefan Karnusian	5	6	55	72	36	47	6	5	78
Germany	Andy Kapp	5	6	62	67	42	42	11	7	73
Sweden	Per Carlsén	4	7	54	72	37	38	8	8	76
France	Thomas Dufour	3	8	58	69	38	40	8	11	74
Italy	Joel Retornaz	3	8	63	81	48	48	8	12	74
China	Wang Fengchun	3	8	52	71	38	43	14	9	77
