Race	Date	Location	Pole Position	Fastest Lap	Race Winner	Constructor	Report
Argentine Grand Prix	21 January	Buenos Aires	Jacques Laffite	Jacques Laffite	Jacques Laffite	Ligier - Ford	Report
Brazilian Grand Prix	4 February	Interlagos	Jacques Laffite	Jacques Laffite	Jacques Laffite	Ligier - Ford	Report
South African Grand Prix	3 March	Kyalami	Jean-Pierre Jabouille	Gilles Villeneuve	Gilles Villeneuve	Ferrari	Report
United States Grand Prix West	8 April	Long Beach	Gilles Villeneuve	Gilles Villeneuve	Gilles Villeneuve	Ferrari	Report
Spanish Grand Prix	29 April	Jarama	Jacques Laffite	Gilles Villeneuve	Patrick Depailler	Ligier - Ford	Report
Belgian Grand Prix	13 May	Zolder	Jacques Laffite	Gilles Villeneuve	Jody Scheckter	Ferrari	Report
Monaco Grand Prix	27 May	Monaco	Jody Scheckter	Patrick Depailler	Jody Scheckter	Ferrari	Report
French Grand Prix	1 July	Dijon-Prenois	Jean-Pierre Jabouille	René Arnoux	Jean-Pierre Jabouille	Renault	Report
British Grand Prix	14 July	Silverstone	Alan Jones	Clay Regazzoni	Clay Regazzoni	Williams - Ford	Report
German Grand Prix	29 July	Hockenheimring	Jean-Pierre Jabouille	Gilles Villeneuve	Alan Jones	Williams - Ford	Report
Austrian Grand Prix	12 August	Österreichring	René Arnoux	René Arnoux	Alan Jones	Williams - Ford	Report
Dutch Grand Prix	26 August	Zandvoort	René Arnoux	Gilles Villeneuve	Alan Jones	Williams - Ford	Report
Italian Grand Prix	9 September	Monza	Jean-Pierre Jabouille	Clay Regazzoni	Jody Scheckter	Ferrari	Report
Canadian Grand Prix	30 September	Île Notre-Dame	Alan Jones	Alan Jones	Alan Jones	Williams - Ford	Report
United States Grand Prix	7 October	Watkins Glen	Alan Jones	Nelson Piquet	Gilles Villeneuve	Ferrari	Report
