Place	Player	Country	Score	To par
T1	Gary Hallberg	United States	68-70=138	–2
T1	Mike Harwood	Australia	68-70=138	–2
T1	Andrew Oldcorn	Scotland	71-67=138	–2
T4	Seve Ballesteros	Spain	66-73=139	–1
T4	Steve Elkington	Australia	71-68=139	–1
T4	David Gilford	England	72-67=139	–1
T4	Wayne Grady	Australia	69-70=139	–1
T4	Mark O'Meara	United States	71-68=139	–1
T4	Mike Reid	United States	68-71=139	–1
T10	Richard Boxall	England	71-69=140	E
T10	Roger Chapman	England	74-66=140	E
T10	Howard Clark	England	71-69=140	E
T10	Mark James	England	72-68=140	E
T10	Barry Lane	England	68-72=140	E
T10	Colin Montgomerie	Scotland	71-69=140	E
T10	Vijay Singh	Fiji	71-69=140	E
