Stage	Winner	General classification	Points Classification	Mountains Classification	Team Classification
1 (ITT)	David Millar	David Millar	David Millar	David Millar	Kelme-Costa Blanca
2	Erik Zabel	David Millar	David Millar	David Millar	Kelme-Costa Blanca
3	Erik Zabel	David Millar	Erik Zabel	David Millar	Kelme-Costa Blanca
4	Erik Zabel	Santiago Botero	Erik Zabel	Karsten Kroon	Mapei-Quick Step
5	Juan Miguel Mercado	Óscar Sevilla	Erik Zabel	Juan Miguel Mercado	iBanesto.com
6	David Millar	Óscar Sevilla	Erik Zabel	Juan Miguel Mercado	iBanesto.com
7 (ITT)	Santiago Botero	Santiago Botero	Erik Zabel	Juan Miguel Mercado	Kelme-Costa Blanca
8	José María Jiménez	Joseba Beloki	Erik Zabel	Juan Miguel Mercado	Festina
9	Igor González de Galdeano	Joseba Beloki	Erik Zabel	Juan Miguel Mercado	Festina
10	Santiago Blanco	Joseba Beloki	Erik Zabel	Juan Miguel Mercado	iBanesto.com
11	José María Jiménez	Óscar Sevilla	Erik Zabel	José María Jiménez	iBanesto.com
12	José María Jiménez	Óscar Sevilla	José María Jiménez	José María Jiménez	iBanesto.com
13	Beat Zberg	Óscar Sevilla	José María Jiménez	José María Jiménez	iBanesto.com
14	Juan Manuel Gárate	Óscar Sevilla	José María Jiménez	José María Jiménez	iBanesto.com
15	Claus Michael Møller	Óscar Sevilla	José María Jiménez	José María Jiménez	iBanesto.com
16	Tomáš Konečný	Óscar Sevilla	José María Jiménez	José María Jiménez	iBanesto.com
17	Robert Hunter	Óscar Sevilla	José María Jiménez	José María Jiménez	iBanesto.com
18	Filippo Simeoni	Óscar Sevilla	Erik Zabel	José María Jiménez	iBanesto.com
19	Guido Trenti	Óscar Sevilla	Erik Zabel	José María Jiménez	iBanesto.com
20	Gilberto Simoni	Óscar Sevilla	José María Jiménez	José María Jiménez	iBanesto.com
21 (ITT)	Santiago Botero	Ángel Casero	José María Jiménez	José María Jiménez	iBanesto.com
