Spacecraft	Spacewalker	Start – UTC	End – UTC	Duration	Comments
Salyut 7 – PE-1 – EVA 1	Lebedev, Berezevoi	30 July 1982 02:39	30 July 1982 05:12	2 h, 33 min	Retrieve experiments
Salyut 7 – PE-2 – EVA 1	Lyakhov, Alexandrov	1 November 1983 04:47	1 November 1983 07:36	2 h, 50 min	Add solar array
Salyut 7 – PE-2 – EVA 2	Lyakhov, Alexandrov	3 November 1983 03:47	3 November 1983 06:62	2 h, 55 min	Add solar array
Salyut 7 – PE-3 – EVA 1	Kizim, Solovyov	23 April 1984 04:31	23 April 1984 08:46	4 h, 20 min	ODU repair
Salyut 7 – PE-3 – EVA 2	Kizim, Solovyov	26 April 1984 02:40	26 April 1984 07:40	4 h, 56 min	Repair ODU
Salyut 7 – PE-3 – EVA 3	Kizim, Solovyov	29 April 1984 01:35	29 April 1984 04:20	2 h, 45 min	Repair ODU
Salyut 7 – PE-3 – EVA 4	Kizim, Solovyov	3 May 1984 23:15	4 May 1984 02:00	2 h, 45 min	Repair ODU
Salyut 7 – PE-3 – EVA 5	Kizim, Solovyov	18 May 1984 17:52	18 May 1984 20:57	3 h, 05 min	Add solar array
Salyut 7 – VE-4 – EVA 1	Savitskaya, Dzhanibekov	25 July 1984 14:55	25 July 1984 18:29	3 h, 35 min	First woman EVA
Salyut 7 – PE-3 – EVA 6	Kizim, Solovyov	8 August 1984 08:46	8 August 1984 13:46	5 h, 00 min	Complete ODU repair
Salyut 7 – PE-4 – EVA 1	Dzhanibekov, Savinykh	2 August 1985 07:15	2 August 1985 12:15	5 h, 00 min	Augment solar arrays
Salyut 7 – PE-6 – EVA 1	Kizim, Solovyov	28 May 1986 05:43	28 May 1986 09:33	3 h, 50 min	Test truss, retrieve samples
