Rank	Nation	Gold	Silver	Bronze	Total
1	Russia	11	3	6	20
2	Poland	5	1	1	7
3	Ukraine	4	4	4	12
4	China	3	5	1	9
5	Uganda	3	0	0	3
6	Japan	2	6	2	10
7	Estonia	2	1	0	3
8	Brazil	2	0	1	3
8	Germany	2	0	1	3
10	Turkey	1	3	1	5
11	Italy	1	1	2	4
12	Jamaica	1	1	1	3
13	South Korea	1	1	0	2
14	Hungary	1	0	2	3
14	South Africa	1	0	2	3
16	New Zealand	1	0	1	2
17	Czech Republic	1	0	0	1
17	Latvia	1	0	0	1
17	Spain	1	0	0	1
20	Great Britain	0	2	4	6
21	Switzerland	0	2	1	3
22	Canada	0	2	0	2
22	Portugal	0	2	0	2
24	Ireland	0	1	4	5
25	Morocco	0	1	2	3
26	Belgium	0	1	1	2
26	France	0	1	1	2
26	Greece	0	1	1	2
29	Algeria	0	1	0	1
29	Australia	0	1	0	1
29	Egypt	0	1	0	1
29	Finland	0	1	0	1
29	Moldova	0	1	0	1
29	Senegal	0	1	0	1
35	Kenya	0	0	2	2
36	Cuba	0	0	1	1
36	Kazakhstan	0	0	1	1
36	North Korea	0	0	1	1
36	Serbia and Montenegro	0	0	1	1
