Rank	Mountain Peak	Subrange	Elevation	Prominence	Isolation
1	Castle Peak NGS	Elk Mountains	4352.200 = 14,279feet 4352m	0720.852 = 2,365feet 721m	00033.71 = 20.9miles 33.7km
2	Maroon Peak NGS	Elk Mountains	4317.000 = 14,163feet 4317m	0712.013 = 2,336feet 712m	00012.97 = 8.1miles 13.0km
3	Capitol Peak	Elk Mountains	4308.816 = 14,137feet 4309m	0527.304 = 1,730feet 527m	00011.98 = 7.4miles 12.0km
4	Snowmass Mountain NGS	Elk Mountains	4297.300 = 14,099feet 4297m	0345.034 = 1,132feet 345m	00003.77 = 2.3miles 3.8km
5	Pyramid Peak NGS	Elk Mountains	4274.700 = 14,025feet 4275m	0493.166 = 1,618feet 493m	00003.36 = 2.1miles 3.4km
6	Cathedral Peak NGS PB	Elk Mountains	4252.100 = 13,950feet 4252m	0153.314 = 503feet 153m	00002.10 = 1.3miles 2.1km
7	Treasure Mountain PB	Elk Mountains	4125.342 = 13,535feet 4125m	0859.841 = 2,821feet 860m	00011.13 = 6.9miles 11.1km
8	Mount Owen NGS PB	Ruby Range PB	3983.800 = 13,070feet 3984m	0413.918 = 1,358feet 414m	00012.81 = 8.0miles 12.8km
9	West Elk Peak NGS PB	West Elk Mountains	3975.200 = 13,042feet 3975m	0943.356 = 3,095feet 943m	00022.18 = 13.8miles 22.2km
10	Chair Mountain NGS PB	Elk Mountains	3879.100 = 12,727feet 3879m	0750.113 = 2,461feet 750m	00014.30 = 8.9miles 14.3km
11	Mount Gunnison NGS PB	West Elk Mountains	3878.700 = 12,725feet 3879m	1081.735 = 3,549feet 1082m	00019.05 = 11.8miles 19.1km
12	Gothic Mountain PB	Elk Mountains	3850.036 = 12,631feet 3850m	0501.396 = 1,645feet 501m	00005.16 = 3.2miles 5.2km
13	Whetstone Mountain NGS PB	West Elk Mountains	3818.100 = 12,527feet 3818m	0748.589 = 2,456feet 749m	00015.11 = 9.4miles 15.1km
14	East Beckwith Mountain NGS PB	West Elk Mountains	3792.100 = 12,441feet 3792m	0759.562 = 2,492feet 760m	00011.01 = 6.8miles 11.0km
15	Anthracite Peak NGS PB	West Elk Mountains	3777.800 = 12,394feet 3778m	0647.700 = 2,125feet 648m	00007.68 = 4.8miles 7.7km
16	Matchless Mountain PB	Elk Mountains	3776.279 = 12,389feet 3776m	0537.362 = 1,763feet 537m	00015.47 = 9.6miles 15.5km
17	Crested Butte PB	Elk Mountains	3708.918 = 12,168feet 3709m	0786.994 = 2,582feet 787m	00007.49 = 4.7miles 7.5km
18	Carbon Peak NGS PB	West Elk Mountains	3684.300 = 12,088feet 3684m	0664.159 = 2,179feet 664m	00006.31 = 3.9miles 6.3km
19	Mount Guero NGS PB	West Elk Mountains	3675.400 = 12,058feet 3675m	0741.274 = 2,432feet 741m	00010.27 = 6.4miles 10.3km
20	Huntsman Mountain Northwest PB	Elk Mountains	3614.201 = 11,858feet 3614m	0936.346 = 3,072feet 936m	00016.58 = 10.3miles 16.6km
21	Marcellina Mountain PB	West Elk Mountains	3460.528 = 11,353feet 3461m	0831.494 = 2,728feet 831m	00008.18 = 5.1miles 8.2km
