Place	Rider	Country	Machine	Speed	Time	Points
1	Klaus Enders / Wolfgang Kalauch	West Germany	BMW	92.93mph	1:13.05.6	15
2	Siegfried Schauzu /H.Schneider	West Germany	BMW	90.64mph	1:14.56.4	12
3	Hans Luthringhauser /H.Cusnik	West Germany	BMW	88.25mph	1:16.58.0	10
4	Jean Claude Castella/A.Castella	Switzerland	BMW	87.91mph	1:17.16.0	8
5	Horst Owesle/J.Kremer	West Germany	Munch URS	87.99mph	1:17.22.0	6
6	Georg Auerbacher /Hermann Hahn	West Germany	BMW	86.81mph	1:18.14.6	5
7	Arseneus Butscher/Karl Lauterbach	West Germany	BMW	83.25mph	1:21.35.6	4
8	Charlie Freedman/Eddie Fletcher	United Kingdom	Norton	79.86mph	1:25.02.8	3
9	L Currie/F Kay	United Kingdom	GSM	79.28mph	1:25.40.6	2
10	Mick Horsepole/E MacPherson	United Kingdom	Triumph	77.64mph	1:27.28.8	1
