Name/Name of Act	Age(s)	Genre	Act	Hometown	Semifinal (Week)	Position Reached
Liu Wei	23	Performing	Disabled pianist	Huangpu , Shanghai	1	Winner
Zhang Fengxi	6	Comedic act	Shanghainese stand up comedian	Huangpu , Shanghai	3	Runner-up
Cai Xiuqing	23	Singing	Singer	Guangzhou , Guangdong	2	3rd place
Modern Grannies	41-62	Dancing	Bellydancing troupe	Wuhan , Hubei	2	Final
Shou Junchao	24	Singing	Rapper	Huangpu , Shanghai	1	Final
Xu Mingfei and Zhang Zhengbang	24	Dancing	Robot Clowns Act	Chengdu , Sichuan	2	Final
Zhai Xiaowei and Ma Li	25-33	Performing	Disabled Acrobats	Zhengzhou , Henan	3	4th place
Zhu Xiaoming	20	Singing	Singer	Huangpu , Shanghai	3	Final
Chen Jing	29	Singing and Performing	Singer and Strength Act	Huangpu , Shanghai	1	Semifinal
Chuan Zi and "Dudu" the dog	11-42	Singing and Performing	Singing and Dog Howling Act	Dongcheng , Beijing	1	Lost Judges' Choice, Semifinal
Dennis	25	Performing	Male Pole Dancer	Uzbekistan	1	Semifinal
Gao Yifeng	49	Singing	Singer	Hefei , Anhui	3	Semifinal
Jiang Renrui	45	Performing	Peacock Dance	Hulunbuir , Inner Mongolia	2	Semifinal
Old Buddies	41-52	Singing	Band	Dongcheng , Beijing	3	Semifinal
Power	22	Performing	Acrobats	Cangzhou , Hebei	2	Semifinal
Shenzhen Migrant Workers Hip-Hop Group	21-23	Dancing	Hip Hop Dance troupe	Shenzhen , Guangdong	1	Semifinal
Wenkexin Bellydancing Group	23	Dancing	Balancing/Bellydancing Group Act	Beijing	3	Semifinal
Xu Hongdong	31	Singing	Opera singer	Lu'an , Anhui	2	Semifinal
Yang Di	24	Performing	Lip-synching Act	Ngawa , Sichuan	2	Semifinal
Zhang Aiqing and Zhang Jianfa	7-51	Dancing	Dance Duo	Huangpu , Shanghai	2	Lost Judges' Choice, Semifinal
Zhou Jinsong	46	Singing	Singer	Dongcheng , Beijing	3	Semifinal
Zhou Yanfeng and his wife Xu Na	35	Singing	Singer	Huangpu , Shanghai	3	Semifinal
Zhu Jie	23	Singing	Singer	Xicheng , Beijing	1	Semifinal
