Year	Round	Pick	Player	Nationality
1973	1	6	John Rogers Category:Articles with hCards	Canada
1973	2	20	Jim McCrimmon Category:Articles with hCards	Canada
1973	3	30	Blair MacDonald Category:Articles with hCards	Canada
1973	3	32	Dave Lewis Category:Articles with hCards	Canada
1973	4	39	Bill Laing Category:Articles with hCards	Canada
1973	4	45	Jim Moxey Category:Articles with hCards	Canada
1973	5	58	Ken Houston Category:Articles with hCards	Canada
1973	6	65	Dave Pay	Canada
1973	6	71	Yvon Bouillon	Canada
1973	7	84	Dwayne Pentland Category:Articles with hCards	Canada
1974	1	8	Gary Soetaert	Canada
1974	2	23	Glen Burdon Category:Articles with hCards	Canada
1974	3	38	Paul Holmgren Category:Articles with hCards	Canada
1974	4	53	Kevin Treacy	Canada
1974	5	67	Dave Langevin Category:Articles with hCards	United States
1974	6	82	Bernard Noreau	Canada
1974	7	97	Tom Sundberg	United States
1974	8	112	Cam Botting Category:Articles with hCards	Canada
1974	9	127	Marty Mathews	Canada
1974	10	140	Willie Friesen	Canada
1974	1	7	Clark Gillies Category:Articles with hCards	Canada
1974	2	19	Mike Rogers Category:Articles with hCards	Canada
1975	1	6	Barry Dean Category:Articles with hCards	Canada
1975	2	21	Peter Morris Category:Articles with hCards	Canada
1975	3	36	Barry Smith Category:Articles with hCards	Canada
1975	4	51	Stu Younger	Canada
1975	5	66	Jim Ofrim	Canada
1975	6	79	Bob Sunderland	United States
1975	7	93	Dave Bell	Canada
1975	8	105	Sid Veysey Category:Articles with hCards	Canada
1975	9	117	Bob Russell Category:Articles with hCards	Canada
1975	10	130	Jean Thibodeau	Canada
1975	11	143	Brian Petrovek	United States
1975	12	154	Jim Montgomery	Canada
1975	13	164	Terry Angel	Canada
1975	14	171	Rick Shinske Category:Articles with hCards	Canada
1976	1	1	Blair Chapman Category:Articles with hCards	Canada
1976	1	6	Bernie Federko Category:Articles with hCards	Canada
1976	3	28	Harold Phillipoff Category:Articles with hCards	Canada
1976	3	30	Drew Callander Category:Articles with hCards	Canada
1976	3	36	Brian Sutter Category:Articles with hCards	Canada
1976	4	48	Yvon Vautour Category:Articles with hCards	Canada
1976	5	60	Tim Williams	Canada
1976	6	72	Gord Blumenschein	Canada
1976	7	84	John Tavella	Canada
1976	8	95	Al Dumba	Canada
1976	9	106	Jim Bedard Category:Articles with hCards	Canada
1977	1	4	Mike Crombeen Category:Articles with hCards	Canada
1977	3	24	Kim Davis Category:Articles with hCards	Canada
1977	4	33	Neil LaBatte Category:Articles with hCards	Canada
1977	4	34	Clark	Canada
1977	5	42	Rocky Saganiuk Category:Articles with hCards	Canada
1977	6	51	Julian Baretta	United States
1977	7	60	Dave Hoyda Category:Articles with hCards	Canada
1977	8	69	Ray Creasy	Canada
1977	9	77	Guy Lash Category:Articles with hCards	Canada
1977	10	85	Owen Lloyd Category:Articles with hCards	Canada
