Game	Date	Opponent	Score	Location/attendance	Record
61	2	Toronto Maple Leafs	2-5	Toronto	26-29-6
62	5	Montreal Canadiens	2-6	Los Angeles	26-30-6
63	7	Oakland Seals	9-2	Los Angeles	27-30-6
64	9	Pittsburgh Penguins	1-3	Pittsburgh	27-31-6
65	10	New York Rangers	4-3	New York	28-31-6
66	12	Detroit Red Wings	2-2	Los Angeles	28-31-7
67	14	Philadelphia Flyers	0-0	Quebec City	28-31-8
68	16	Minnesota North Stars	2-1	Minnesota	29-31-8
69	20	Minnesota North Stars	3-3	Los Angeles	29-31-9
70	22	St. Louis Blues	6-1	Los Angeles	30-31-9
71	23	Philadelphia Flyers	4-2	Los Angeles	31-31-9
72	26	Pittsburgh Penguins	1-2	Los Angeles	31-32-9
73	27	Minnesota North Stars	3-5	Los Angeles	31-33-9
74	30	Oakland Seals	2-2	Oakland	31-33-10
