Tournament	Surface	Week	Winner	Runner-up	Semifinalists
Indian Wells	Hard	March 7	Roger Federer (1) 6–2, 6–4, 6–4	Lleyton Hewitt (2)	Guillermo Cañas (14) Andy Roddick (3)
Miami	Hard	March 21	Roger Federer (1) 2–6, 6–7(4), 7–6(5), 6–3, 6–1	Rafael Nadal (29)	Andre Agassi (9) David Ferrer
Monte Carlo	Clay	April 11	Rafael Nadal (11) 6–3, 6–1, 0–6, 7–5	Guillermo Coria (6)	Richard Gasquet (Q) Juan Carlos Ferrero (WC)
Rome	Clay	May 2	Rafael Nadal (5) 6–4, 3–6, 6–3, 4–6, 7–6(6)	Guillermo Coria (9)	Andre Agassi (6) David Ferrer
Hamburg	Clay	May 9	Roger Federer (1) 6–3, 7–5, 7–6(4)	Richard Gasquet (Q)	Nikolay Davydenko (15) Christophe Rochus (Q)
Montréal	Hard	August 8	Rafael Nadal (1) 6–3, 4–6, 6–2	Andre Agassi (4)	Paul-Henri Mathieu Greg Rusedski
Cincinnati	Hard	August 15	Roger Federer (1) 6–3, 7–5	Andy Roddick (5)	Robby Ginepri (WC) Lleyton Hewitt (3)
Madrid	Hard (i)	October 17	Rafael Nadal (1) 3–6, 2–6, 6–3, 6–4, 7–6(3)	Ivan Ljubičić (8)	Robby Ginepri (16) David Nalbandian (5)
Paris	Carpet (i)	October 31	Tomáš Berdych 6–3, 6–4, 3–6, 4–6, 6–4	Ivan Ljubičić (6)	Andy Roddick (1) Radek Štěpánek (8)
Shanghai ( TMC )	Carpet (i)	November 13	David Nalbandian 6–7(4), 6–7(11), 6–2, 6–1, 7–6(3)	Roger Federer	Gastón Gaudio Nikolay Davydenko
