Year	Competition	Venue	Position	Notes
2005	European Indoor Championships	Madrid, Spain	16th (q)	7.74 m
2006	European Championships	Gothenburg, Sweden	18th (q)	7.73 m
2006	European Cup	Málaga, Spain	3rd	8.09 m
2007	European Indoor Championships	Birmingham, United Kingdom	6th	7.88 m
2007	Universiade	Bangkok, Thailand	15th (q)	7.60 m
2007	World Championships	Osaka, Japan	14th (q)	7.92 m
2008	World Indoor Championships	Valencia, Spain	7th	7.74 m
2008	Olympic Games	Beijing, China	33rd (q)	7.62 m
2009	European Indoor Championships	Torino, Italy	3rd	8.18 m ( iNR )
2009	Universiade	Belgrade, Serbia	3rd	8.10 m
