Year	Movie (in Kannada )	Director	Cast	Music Director
1970	Aanireekshita	B.Nagesh Babu	Kalpana, K.S.Aswath, B.V. Radha	Vijaya Bhaskar
1970	Aparaajithe	R.M.Veerabadriah	Kalyan Kumar, Mynavati, Aswath	Rajan-Nagendra
1970	Arashina Kunkuma	Ravi	Kalyan Kumar, Kalpana, Dwarakish	Vijaya Bhaskar
1970	Aaru Mooru Ombattu	K.S.L.Swamy	Udayakumar , Sudarshan	Vijaya Bhaskar
1970	Baalu Belagithu	Siddalingaiah	Rajkumar , Jayanti , Dwarakish	Vijaya Bhaskar
1970	Bhale Jodi	Y.R.Swamy	Rajkumar , Bharati, Balakrishna	R.Ratna
1970	Bhale Kiladi	S.N.Singh	Srinath , Udaychandrika, Dikki Madhava Rao	Satyam
1970	Bhupati Ranga	Geetapriya	Rajkumar , Udayachandrika, Narasimharaju	Vijaya Bhaskar
1970	Boregowda Bangalorige Bandha	B.A.Arasu	Rajesh, Leelavati, Vandana	Rajan-Nagendra
1970	C.I.D. Rajanna	R.Rama Murthy	Rajkumar , Rajashree, Balakrishna	Satyam
1970	Devara Makkalu	Y.R.Swamy	Rajkumar , Rajesh	G.K.Venkatesh
1970	Gejje Pooje	S.R.Puttanna Kanagaal	Kalpana, Leelavati, Pandaribai	Vijaya Bhaskar
1970	Hasiru Thorana	T.V.Singh	Rajkumar , Bharati, Uday Kumar	Upendra Kumar
1970	Kallara Kalla	M.P.Shankar	Uday Kumar, Sudarshan, Aarathi	Satyam
1970	Kanneeru	B.M.Sankar	Jayanti , B.M. Venkatesh, Dinesh	Rajan-Nagendra
1970	Karulina Kare	S.R.Puttanna Kanagaal	Rajkumar , Kalpana, R.Nagendra Rao	M.Ranga Rao
1970	Lakshmi Saraswathi	Ravi	B. Sarojadevi, Ramesh, Sudarshan	Vijaya Bhaskar
1970	Modala Raatri	Vijay	Narasimharaju, Srinath, Rajashree	Satyam
1970	Mr. Rajkumar	B.S.Ranga	Rajkumar , Rajashree, Nagappa	S.Rajeswara Rao
1970	Mrutyu Panjaradalli Goodachari 555	Sunanda	Uday Kumar, Srinath, Udayachandrika	Satyam
1970	Muru Muttugalu	Aaruru Pattabhi	Srinath, Mynavati, Rajesh	Rajan-Nagendra
1970	Naadina Bhagya	R.Nagendra Rao	Rajkumar , Srilalitha, R.Nagendra Rao	R.Ratnam
1970	Namma Mane	Bangaara Raju	Rajesh, Kalpana, Dinesh	Upendra Kumar
1970	Nanna Tamma	K.Babu Rao	Rajkumar , Gangadhar, Dinesh	Ghantasala
1970	Pratheekara	M.S.Gopinath	Uday Kumar, Kalpana, Aswath	Satyam
1970	Rangamahal Rahasya	Vijay	Srinath, Bharati, Narasimharaju	Satyam
1970	Sedige Sedu	A.V.Sheshagiri Rao	Uday Kumar, Jayanti , Balakrishna	Satyam
1970	Samskaara	Pattabhirama Reddy	Girish Karnad, Lankesh, Snehalata Reddy	Rajiv Taranath
1970	Seetha	Vadiraj	Gangadhar, Ramesh	Vijaya Bhaskar
1970	Sri Krishnadevaraya	B.R.Panthulu	Rajkumar , Jayanti , Bharati	T.G.Lingappa
1970	Sukha Samsaara	Vijaya Satyam	Srinath, Udayakumar , Rajashree	M.Ranga Rao
1970	Takka bitre	A.M.Samiulla	Srinath, Uday Kumar, Aarati	Vijaya Bhaskar
1970	Vaagdaana	Shankar V	Sudarshan, Kalpana, Dwarakish	Velur Krishna
1971	Amarabharati	B.Krishna	Kalyan Kumar, Chandrakala, B.V.Radha	M.Purnachandra
1971	Anugraha	H.L.N.Simha	Srinath, Ashwath, Aarati	Rajan-Nagendra
1971	Baala Bandana	Paeketi Shivaram	Rajkumar , Jayanti , Sampath	G.K.Venkatesh
1971	Bhale Adrushtavo Adrushta	K.S.L.Swamy	Gangadhar, Kalpana, Srinath	Vijaya Bhaskar
1971	Bhale Bhaskar	R.Ramamurthy	Gangadhar, Anita, Rajesh	Satyam
1971	Bhethala Gudda	B.A.Arasu	Rajesh, Udayachandrika, Dwarakish	Vijaya Bhaskar
1971	Hennu, Honnu Mannu	Basavaraj Kestur	Rajesh, Udayachandrika, B.R.Jayaram	Upendra Kumar
1971	Hu-Bisilu	T.V.Singh	Ramesh, Jayanti , Rajaashankar	T.G.Lingappa
1971	Iadu beralu	S.R.Raajan	S.R.Raajan, Renuka, Indrani	R.Ratna
1971	Jatakaratna Gundaajoisa	B.Padmanabhan	H.R.Hanumantha Rao, Ramadevi, Narasimharaju	S.P.Kodandapani
1971	Kaasidre Kailasa	K.Janakiram	Rajkumar , Uday Kumar, Pandaribai	Satyam
1971	Kalyani	Geetapriya	Jayanti , Gangadhar, Ranga	Vijaya Bhaskar
1971	Kasturi Niwasa	B.Dorairaj	rajkumar , Jayanti , Aarati	G.K.Venkatesh
1971	Kulagourava	Paeketi Shivaram	Rajkumar , Jayanti , Bharati	T.G.Lingappa
1971	Malati Madhava	B.R.Panthulu	B.R.Panthulu,Gangadhar, Jayanti	T.G.Lingappa
1971	Mukthi	N.Lakshminarayana	Kalpana, Rajashekar, Ashwath	Vijaya Bhaskar
1971	Naguva Hoovu	R.N.K.Prasad	Sudarshan, B.V.Radha, Ranga	G.K.Venkatesh
1971	Namma Samsaara	Siddalingaiah	Rajesh, Poornima, Ashwath	R.Ratna
1971	Namma Baduku	M.N.Aaradya	Rajkumar, Balakrishna, Bharati	M. Ranga Rao
1971	Nyayave Devaru	Siddalingaiah	Rajkumar, B. Sarojadevi, Aarati	Rajan-Nagendra
1971	Onde Kula Onde Daiva	D.Shankar	Rajesh, Srinath, Kalpana	Rajan-Nagendra
1971	Paapa Punya	M.V. Krishnaswamy	Kalyan Kumar, Ashwath, B. Sarojadevi	Padmacharan
1971	Poornima	R. Dayananda	B. Sarojadevi, Uday Kumar, Rajesh	R.Ratna
1971	Pratidwani	B. Dorairaj	Rajkumar,Aarati,Rajesh	G.K. Venkatesh
1971	Saakshatkara	S.R. Puttanna Kanagaal	Rajkumar, Jamuna, Vajramuni	M. Ranga Rao
1971	Sedina Kidi	B.Krishan	Kalyan Kumar, Rajaashankar, Jayanti	M.Purnachandra
1971	Samshaya Phala	A.M. Samiulla	Uday Kumar, Jayanti, Srinath	Saleel Chowdhary
1971	Shara Panjara	S.R. Puttanna Kanagaal	Kalpana, Gangadhar, Loknath	Vijaya Bhaskar
1971	Signalman Sidappa	Tekkatte	Uday Kumar, Leelavati, Balakrishna	Vijaya Bhaskar
1971	Sotu Geddavalu	S.K.A. Chari	Kalpana, Gangadhar, Balakrishna	M. Ranga Rao
1971	Sri Krishna Rukmini Satyabhama	K.S.L. Swamy	Rajkumar, B. Sarojadevi, Aarati	R.Sudarshanam
1971	Taaye Devaru	Siddalingaiah	Rajkumar, Bharati, Ashwath	G.K. Venkatesh
1971	Tande Makkalu	Srikanth	Jayanti, B. Sarojadevi, Srinath	G.K. Venkatesh
