Driver	Constructor	Laps	Time/Retired	Grid
Michael Schumacher	Ferrari	53	1:29:48.446	2
Heinz-Harald Frentzen	Williams - Renault	53	+1.378	6
Eddie Irvine	Ferrari	53	+26.384	3
Mika Häkkinen	McLaren - Mercedes	53	+27.129	4
Jean Alesi	Benetton - Renault	53	+40.403	7
Johnny Herbert	Sauber - Petronas	53	+41.630	8
Giancarlo Fisichella	Jordan - Peugeot	53	+56.825	9
Gerhard Berger	Benetton - Renault	53	+1:00.429	5
Ralf Schumacher	Jordan - Peugeot	53	+1:22.036	13
David Coulthard	McLaren - Mercedes	52	Engine	11
Damon Hill	Arrows - Yamaha	52	+1 lap	17
Pedro Diniz	Arrows - Yamaha	52	+1 lap	16
Jos Verstappen	Tyrrell - Ford	52	+1 lap	21
Jacques Villeneuve	Williams - Renault	53	Disqualified	1
Tarso Marques	Minardi - Hart	46	Gearbox	20
Mika Salo	Tyrrell - Ford	46	Engine	22
Olivier Panis	Prost - Mugen-Honda	36	Engine	10
Shinji Nakano	Prost - Mugen-Honda	22	Wheel bearing	15
Ukyo Katayama	Minardi - Hart	8	Engine	19
Rubens Barrichello	Stewart - Ford	6	Spun off	12
Jan Magnussen	Stewart - Ford	3	Spun off	14
Gianni Morbidelli	Sauber - Petronas	0	Injury	18
