Date	Tournament	Winning score	To par	Margin of victory	Runner(s)-up	Winner's share ( $ )
8 Jun 2008	McDonald's LPGA Championship	73-70-65-68=276	−12	Playoff	Maria Hjorth	300,000
24 May 2009	LPGA Corning Classic	68-70-62-67=267	−21	1 stroke	Kang Soo-Yun Paula Creamer	225,000
4 Apr 2010	Kraft Nabisco Championship	69-71-67-68=275	−13	1 stroke	Suzann Pettersen	300,000
1 Aug 2010	Ricoh Women's British Open	68-68-68-73=277	−11	1 stroke	Katherine Hull	408,714
12 Sep 2010	P&G NW Arkansas Championship	67-68-65=200	−13	1 stroke	Michelle Wie	300,000
20 Feb 2011	Honda LPGA Thailand	66-71-70-66=273	−15	5 strokes	Michelle Wie	217,500
12 Jun 2011	LPGA State Farm Classic	67-66-66-68=267	−21	3 strokes	Cristie Kerr	255,000
26 Jun 2011	Wegmans LPGA Championship	66-70-67-66=269	−19	10 strokes	Morgan Pressel	375,000
31 Jul 2011	Ricoh Women's British Open	71-66-66-69=272	−16	4 strokes	Brittany Lang	392,133
11 Sep 2011	Walmart NW Arkansas Championship	66-67-68=201	−13	Playoff	Amy Yang	300,000
9 Oct 2011	LPGA Hana Bank Championship	65-70-67=202	−14	1 stroke	Choi Na-Yeon	270,000
23 Oct 2011	Sunrise LPGA Taiwan Championship	68-71-67-66=272	−16	5 strokes	Amy Yang Azahara Muñoz	300,000
19 Feb 2012	Honda LPGA Thailand	73-65-65-66=269	−19	1 stroke	Ai Miyazato	225,000
18 Mar 2012	RR Donnelley LPGA Founders Cup	65-70-67-68=270	−18	1 stroke	Choi Na-Yeon Ai Miyazato	225,000
25 Mar 2012	Kia Classic	67-68-69-70=274	−14	6 strokes	Sun-Young Yoo	255,000
