Driver	Constructor	Laps	Time/Retired	Grid
Emerson Fittipaldi	Lotus - Ford	96	1:56:18.22	2
François Cevert	Tyrrell - Ford	96	+ 4.69	6
Jackie Stewart	Tyrrell - Ford	96	+ 33.19	4
Jacky Ickx	Ferrari	96	+ 42.57	3
Denny Hulme	McLaren - Ford	95	+ 1 Lap	8
Wilson Fittipaldi	Brabham - Ford	95	+ 1 Lap	13
Clay Regazzoni	BRM	93	+ 3 Laps	1
Peter Revson	McLaren - Ford	92	+ 4 Laps	11
Arturo Merzario	Ferrari	92	+ 4 Laps	14
Mike Beuttler	March - Ford	90	Suspension	18
Jean-Pierre Jarier	March - Ford	84	Radiator	17
Jean-Pierre Beltoise	BRM	79	Engine	7
Howden Ganley	Iso Marlboro - Ford	79	Not Classified	19
Ronnie Peterson	Lotus - Ford	67	Oil Pressure	5
Niki Lauda	BRM	66	Oil Pressure	13
Carlos Reutemann	Brabham - Ford	16	Gearbox	9
Mike Hailwood	Surtees - Ford	10	Halfshaft	10
Carlos Pace	Surtees - Ford	10	Suspension	15
Nanni Galli	Iso Marlboro - Ford	0	Engine	16
