Name of lava dome	Country	Volcanic area	Composition	Last eruption or growth episode
Chaitén lava dome	Chile	Southern Volcanic Zone	Rhyolite	2009
Cordón Caulle lava domes	Chile	Southern Volcanic Zone	Rhyodacite to Rhyolite	Holocene
Galeras lava dome	Colombia	Northern Volcanic Zone	Unknown	2010
Katla lava dome	Iceland	Iceland hotspot	Rhyolite	1999 onwards
Lassen Peak	USA	Cascade Volcanic Arc	Dacite	1917
Mount Meager lava domes	Canada	Cascade Volcanic Arc	Dacite	2350 BP
Mount Merapi lava dome	Indonesia	Sunda Arc	Unknown	2010
Nea Kameni	Greece	South Aegean Volcanic Arc	Dacite	1950
Novarupta lava dome	Alaska ( USA )	Aleutian Arc	Unknown	1912
Nevados de Chillán lava domes	Chile	Southern Volcanic Zone	Dacite	1986
Puy de Dôme	France	Chaîne des Puys	Unknown	ca. 5760 BC
Santa María lava dome	Guatemala	Central America Volcanic Arc	Dacite	2009
Sollipulli lava dome	Chile	Southern Volcanic Zone	Andesite to Dacite	1240 ± 50 years
Soufrière Hills lava dome	Montserrat	Lesser Antilles	Andesite	2009
Mount St. Helens lava domes	USA	Cascade Volcanic Arc	Dacite	2008
Torfajökull lava dome	Iceland	Iceland hotspot	Rhyolite	1477
Tata Sabaya lava domes	Bolivia	Andes	Unknown	~ Holocene
Valles lava dome	USA	Jemez Mountains	Unknown	50,000-60,000 BP
