Place	Player	Country	Score	To par	Money ( $ )
1	Cary Middlecoff	United States	75-67-69-75=286	+2	2,000
T2	Clayton Heafner	United States	72-71-71-73=287	+3	1,250
T2	Sam Snead	United States	73-73-71-70=287	+3	1,250
T4	Bobby Locke	South Africa	74-71-73-71=289	+5	700
T4	Jim Turnesa	United States	78-69-70-72=289	+5	700
T6	Dave Douglas	United States	74-73-70-73=290	+6	450
T6	Buck White	United States	74-68-70-78=290	+6	450
T8	Pete Cooper	United States	71-73-74-73=291	+7	300
T8	Claude Harmon	United States	71-72-74-74=291	+7	300
T8	Johnny Palmer	United States	71-75-72-73=291	+7	300
