Date	Opponent	Score	Loss	Record
July 1	@ Athletics	10–2	Dobson (4–5)	38–34
July 2	@ Athletics	2–1	Hunter (8–6)	39–34
July 3	@ Angels	9–3	Hamilton (1–1)	40–34
July 4	@ Angels	4–3	Bell (6–7)	40–35
July 5	@ Angels	4–3	Santiago (4–4)	40–36
July 7	@ Tigers	5 – 4 (11)	Wyatt (4–4)	40–37
July 8	@ Tigers	2–0	Stange (3–6)	40–38
July 9	@ Tigers	10–4	Bell (6–8)	40–39
July 9	@ Tigers	3–0	Wickersham (4–2)	41–39
July 13	Orioles	4–2	Phoebus (7–4)	42–39
July 13	Orioles	10–0	Bell (6–9)	42–40
July 14	Orioles	11–5	Adamson (0–1)	43–40
July 15	Orioles	5–1	Richert (5–10)	44–40
July 16	Tigers	9–5	Sparma (9–3)	45–40
July 17	Tigers	7–1	McLain (10–11)	46–40
July 18	@ Orioles	6–2	McNally (6–6)	47–40
July 19	@ Orioles	6–4	Richert (6–11)	48–40
July 21	@ Indians	6–2	Tiant (7–5)	49–40
July 22	@ Indians	4–0	Hargan (9–8)	50–40
July 23	@ Indians	8–5	O'Donoghue (5–3)	51–40
July 23	@ Indians	5–1	Tiant (7–6)	52–40
July 25	Angels	6–4	Waslewski (2–1)	52–41
July 26	Angels	9–6	Rojas (7–6)	53–41
July 27	Angels	6 – 5 (10)	Kelso (4–3)	54–41
July 28	Twins	9–2	Lonborg (14–4)	54–42
July 29	Twins	6–3	Worthington (6–6)	55–42
July 29	Twins	10–3	Waslewski (2–2)	55–43
July 30	Twins	7–5	Brandon (4–8)	55–44
July 31	Twins	4–0	Boswell (8–8)	56–44
