Round	Pick	Player	Position	School
1	9	Mike Butler	Defensive End	Kansas
1	28	Ezra Johnson	Defensive End	Morris Brown
2	39	Greg Koch	Offensive Tackle	Arkansas
3	74	Rick Scribner	Guard	Idaho State
5	122	Nate Simpson	Running Back	Tennessee State
6	149	Tim Moresco	Defensive Back	Syracuse
7	172	Derrel Gofourth	Center	Oklahoma State
7	176	Rell Tipton	Guard	Baylor
8	206	David Whitehurst	Quarterback	Furman
9	233	Joel Mullins	Tackle	Arkansas State
10	260	Jim Culbreath	Running Back	Oklahoma
11	290	Terry Randolph	Defensive Back	American International
