Rank	Nation	Gold	Silver	Bronze	Total
1	Vilnius	6	5	5	16
2	Kaunas	2	4	5	11
3	Šiauliai	2	2	2	6
4	Mazyr	2	1	0	3
5	Jonava	1	3	0	4
6	Riga	1	1	2	4
7	Molėtai	1	1	1	3
8	Telšiai	1	1	0	2
8	Raseiniai	1	1	0	2
8	Nairobi	1	1	0	2
8	Brest	1	1	0	2
12	Mogilev	1	0	1	2
12	Minsk	1	0	1	2
12	Panevėžys	1	0	1	2
12	Kėdainiai	1	0	1	2
16	Vilkaviškis	1	0	0	1
16	Prienai	1	0	0	1
16	London	1	0	0	1
19	Plonsk	0	1	0	1
19	Koblenz	0	1	0	1
19	Druskininkai	0	1	0	1
19	Šėta	0	1	0	1
19	Moscow	0	1	0	1
24	Šalčininkai	0	0	3	3
25	Birštonas	0	0	1	1
25	Talin	0	0	1	1
25	Paberžė	0	0	1	1
25	Glasgow	0	0	1	1
