Title	Developer	Category	Release date	Version
Alarm Clock	Microsoft	Utilities	2010-12-16	1.1
Calculator	Microsoft	Utilities	2009-09-01	1.0
Calendar	Matchbox	Utilities	2011-07-29	1.0.0.3
Chord Finder	Microsoft	Utilities	2010-11-17	1.0
Drum Machine HD	Dino Games	Utilities	2010-10-20	1.0
Email	Microsoft	Utilities	2011-04-01	1.1.0.1
Facebook	Matchbox	Social Networking	2010-12-16	1.4
Fan Prediction	iHwy, Inc.	Entertainment	2011-06-23	1.0
Fingerpaint	Babaroga	Entertainment	2011-07-29	1.1
Level	Microsoft	Utilities	2011-06-23	1.0
Metronome	Dino Games	Utilities	2010-09-09	1.0
MSN Money	Microsoft	Utilities	2010-07-29	1.0
Notes	Microsoft	Utilities	2011-06-23	1.0
Piano	Microsoft	Entertainment	2009-11-01	1.0
Shuffle by Album	Microsoft	Utilities	2011-02-18	1.1
Stopwatch	Microsoft	Utilities	2010-08-05	1.1
Twitter	Matchbox	Social Networking	2010-12-16	1.6
Weather	Microsoft	Utilities	2009-09-01	1.0
Windows Live Messenger	Microsoft	Social Networking	2010-11-17	1.4
Zune Reader	Microsoft	Utilities	2011-02-18	1.2
